# Phase 5 task 16 - pre-registered analysis registry. Date: 2026-07-10. FROZEN BEFORE ANY OUTCOME INSPECTION.
# Authoritative method definitions: papers/build_prompt_phases/phase_05/statistical_analysis_plan.md (SAP) Sections 2-12; one row per pre-registered analysis.
# source_paths are relative to benchmarks/cec_reference_results/ (immutable release rel-2026-07-10-262fc16c9); {alg} ranges over the P1 panel
#   order gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk. Staging results/ and results/_ablation/ are NEVER admissible inputs.
# output_file paths are relative to papers/analysis/rel-2026-07-10-262fc16c9/; EVERY row additionally writes machine-readable rows keyed by
#   analysis_id to primary_stats/statistical_results.csv (PAPER_BUILD_PROMPT Section 7.14 schema; SAP Section 12).
# Output naming (Gate-5 normalization): strict_source_execution.md Sec.5 pattern <family>_<suite>[_D<dim>][_<qualifier>].csv is the single authority.
# Endpoint: error (CEC2017/CEC2013; suite floor error<1e-8 -> 0 per PR-05); best_fitness (CEC2011; error NaN by design, anomaly A2-017).
# Alpha = 0.05 per family; all Wilcoxon tests two-sided; tie rule |delta| < 1e-8; pairing via get_cec_seed(20240620, dim, func, run)
#   (verified in papers/governance/seed_and_pairing_audit.md Sections 1-4; function identity is the pairing key for across-function tests).
# APGSK CEC2017 GAP (binding; anomaly A2-004; source_resolution_map.csv dispositions i-iv): cec2017/apgsk/per_run.csv covers D100 ONLY;
#   run-level quantities vs apgsk at CEC2017 D10/D30/D50 are disclosed-unavailable, never imputed; function-level Wilcoxon on per-function
#   means (AN-PW-2017-D10/D30/D50) is the sole valid inferential basis vs apgsk at those dimensions.
# APGSK CEC2017 GAP -- RESOLVED CR-0006 (2026-07-11): cec2017/apgsk/per_run.csv restored to all 4 dims (5916 rows) by a validated
#   deterministic recovery of data lost to A2-004 (scripts/recover_apgsk_perrun.py; recovered rows reproduce the frozen summary CSVs
#   EXACTLY). The formerly disclosed-unavailable apgsk run-level cells at CEC2017 D10/D30/D50 (AN-DESC success/failure rates, AN-PWRUN,
#   AN-EFF A12/Cliff+BCa, AN-COST runtime, AN-EXP-BH) are now COMPUTED. This is a completeness correction under phase2_anomaly_register
#   A2-004 -> RESOLVED-CR-0006 and decision_log D-0011; a logged confirmatory amendment per SAP Section 13. Frozen SUMMARY CSVs, primary
#   Friedman ranks, and function-level Wilcoxon/Holm are UNCHANGED; the pre-registered function-level basis (AN-PW) remains valid and the
#   pre-registered summary-means robustness variant AN-ROB-2017-04 (disputed-cell exclusion) is deliberately kept fixed. No claim upgraded.
# AN-ABL-* rows are PHASE_12_ONLY: methods frozen now; inputs are a future promoted ablation release that does not exist yet (P6).
analysis_id,method,scope,input_resolution,source_paths,multiplicity_family,effect_interval,output_file,claim_ids,exhibit_ids
"AN-EFF-2013-D10","A12 + Cliff's delta at run level per function + BCa 95% CI on paired mean-error differences; identical machinery/direction/seed scheme as Section 7 (suite_ordinal=2013) (SAP Sec.7)","CEC2013 D10; 28 functions x 6 comparators; 51 vs 51 runs","per_run","cec2013/{alg}/per_run.csv (dimension==10 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list","cec2013/effect_sizes_cec2013_D10.csv + cec2013/bca_ci_cec2013_D10.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-EFF-2013-D30","Same as AN-EFF-2013-D10 at D30","CEC2013 D30; 28 functions x 6 comparators; 51 vs 51 runs","per_run","cec2013/{alg}/per_run.csv (dimension==30 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI, B=10000, seed scheme SAP Sec.7","cec2013/effect_sizes_cec2013_D30.csv + cec2013/bca_ci_cec2013_D30.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-EFF-2013-D50","Same as AN-EFF-2013-D10 at D50","CEC2013 D50; 28 functions x 6 comparators; 51 vs 51 runs","per_run","cec2013/{alg}/per_run.csv (dimension==50 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI, B=10000, seed scheme SAP Sec.7","cec2013/effect_sizes_cec2013_D50.csv + cec2013/bca_ci_cec2013_D50.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-CONV-2013-D30","Descriptive convergence grids, D30 ONLY per P4 (Section 8.5 dimension-filename limitation); P2 aggregation over 51 runs; P3 styling (SAP Sec.8)","CEC2013 D30; 28 functions; 7 curves per panel","checkpoint_logs","cec2013/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D30.csv (28 functions)","none (descriptive; no test)","none","cec2013/convergence_checkpoints_cec2013_D30.csv + primary_stats/statistical_results.csv","","F02-SUP-CEC2013-D30"
"AN-OMNI-2011-NATIVE","Friedman + Iman-Davenport over 22 per-problem mean best_fitness values (error NaN by design, A2-017; endpoint = best_fitness per SAP Sec.2), k=7, alpha=0.05; Nemenyi CD conditional; secondary real-world suite - 'corroborate', never 'validate'","CEC2011 native dims; 22 problems; k=7; 25 runs","summary_per_function","cec2011/{alg}/{alg}_cec2011.csv (22-problem rollup)","single omnibus per (cec2011,native) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2011/friedman_ranks_cec2011.csv + primary_stats/statistical_results.csv","RS-10;IN-03;CN-01","T04;F04-CEC2011"
"AN-PW-2011-NATIVE","Wilcoxon signed-rank across 22 problems on per-problem mean best_fitness, DT-GSK vs each of 6 comparators; two-sided; tie |d|<1e-8 (SAP Sec.6a)","CEC2011 native dims; n=22 paired problems; 6 comparators","summary_per_function","cec2011/{alg}/{alg}_cec2011.csv","Holm m=6 within (cec2011,native); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2011-NATIVE","cec2011/wilcoxon_holm_cec2011.csv + primary_stats/statistical_results.csv","RS-10;IN-03","T04-STATS"
"AN-PWRUN-2011-NATIVE","Per-problem run-level Wilcoxon on 25 seed-paired runs (best_fitness endpoint); two-sided; cec2011 per_run complete for all 7 algorithms (550 rows/alg) (SAP Sec.6b)","CEC2011 native dims; 22 problems x 6 comparators; 25 paired runs","per_run","cec2011/{alg}/per_run.csv (best_fitness column; NOT error - NaN by design A2-017)","Holm m=22 across problems within (cec2011,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2011-NATIVE","cec2011/wilcoxon_run_cec2011.csv + primary_stats/statistical_results.csv","RS-10","T04-STATS"
"AN-EFF-2011-NATIVE","A12 + Cliff's delta at run level per problem (25 vs 25 runs) + BCa 95% CI on paired mean best_fitness differences; Section 7 machinery (suite_ordinal=2011) (SAP Sec.7)","CEC2011 native dims; 22 problems x 6 comparators; 25 vs 25 runs","per_run","cec2011/{alg}/per_run.csv (best_fitness column)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list","cec2011/effect_sizes_cec2011.csv + cec2011/bca_ci_cec2011.csv + primary_stats/statistical_results.csv","RS-10","T04-STATS"
"AN-CONV-2011-NATIVE","Descriptive convergence grids, 22 problems at native dims; P2 aggregation over 25 runs; P3 styling (SAP Sec.8)","CEC2011 native dims; 22 problems; 7 curves per panel","checkpoint_logs","cec2011/{alg}/gen_logs/CheckpointErrors_{alg}_F{p}_D{native}.csv (22 problems)","none (descriptive; no test)","none","cec2011/convergence_checkpoints_cec2011.csv + primary_stats/statistical_results.csv","","F02-SUP-CEC2011"
"AN-ROB-2017-01","EXPLORATORY robustness check 1 (= robustness_plan.md R2 per its Sec.1.0 crosswalk): mean vs median per-function summary statistic for ranks and W/T/L; reported as stable/unstable statement only; headline reversal must be reported as unstable (SAP Sec.10)","CEC2017 all 4 dimensions (per suite x dimension where evidence permits)","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","exploratory; no new inferential family; labels only","none","cec2017/robustness/robustness_cec2017_r01_mean_vs_median.csv + primary_stats/statistical_results.csv","RS-01;RS-08",""
"AN-ROB-2017-02","EXPLORATORY robustness check 2 (= robustness_plan.md R1 per its Sec.1.0 crosswalk; R1's feasibility-aware branch-A/branch-B procedure is the SINGLE authoritative definition - the SAP Sec.10 wording defers to R1): error-floor sensitivity; display-floor variants for log plots (SAP Sec.10)","CEC2017 all 4 dimensions","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","exploratory; labels only","none","cec2017/robustness/robustness_cec2017_r02_floor_sensitivity.csv + primary_stats/statistical_results.csv","RS-08",""
"AN-ROB-2017-03","EXPLORATORY robustness check 3 (= robustness_plan.md R4 per its Sec.1.0 crosswalk): leave-one-function-out Friedman mean ranks (function influence on rank conclusions) (SAP Sec.10)","CEC2017 all 4 dimensions; 29 LOFO replicates per dimension","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","exploratory; labels only","none","cec2017/robustness/robustness_cec2017_r03_lofo_friedman.csv + primary_stats/statistical_results.csv","RS-01",""
"AN-ROB-2017-04","EXPLORATORY robustness check 4 (= robustness_plan.md R3 per its Sec.1.0 crosswalk): exclusion of disputed comparator cells (apgsk cec2017 non-D100 columns; eGSK provenance-qualified cells) from descriptive rank aggregates (SAP Sec.10)","CEC2017 all 4 dimensions + overall descriptive row","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","exploratory; labels only","none","cec2017/robustness/robustness_cec2017_r04_disputed_cell_exclusion.csv + primary_stats/statistical_results.csv","RS-01",""
"AN-ROB-2017-05","EXPLORATORY robustness check 5 (= robustness_plan.md R5 per its Sec.1.0 crosswalk): pairing-assumption check - unpaired Mann-Whitney companion to selected per-function Wilcoxon results (labeling only; Holm families unchanged) (SAP Sec.10)","CEC2017 selected (dimension,function,comparator) cells with per-run evidence","per_run","cec2017/{alg}/per_run.csv","exploratory; labels only; primary Holm families unchanged","none","cec2017/robustness/robustness_cec2017_r05_unpaired_companion.csv + primary_stats/statistical_results.csv","RS-07",""
"AN-ROB-2017-06","EXPLORATORY robustness check 6 (= robustness_plan.md R6 per its Sec.1.0 crosswalk): correction-family definition check Holm vs BH (delegates to AN-EXP-BH-2017); never mixed into headlines (SAP Sec.10)","CEC2017 all 4 dimensions (run-level pairwise families)","per_run","cec2017/{alg}/per_run.csv","exploratory; Holm (primary) vs BH (separate exploratory family); never mixed","none","cec2017/robustness/robustness_cec2017_r06_holm_vs_bh.csv + primary_stats/statistical_results.csv","RS-07",""
"AN-ROB-2017-07","EXPLORATORY robustness check 7 (= robustness_plan.md R7 cross-suite facet per its Sec.1.0 crosswalk): secondary-suite inclusion/exclusion effect on qualitative conclusions (CEC2011/CEC2013 in vs out of the narrative) (SAP Sec.10)","cross-suite qualitative check (CEC2017 primary vs +CEC2011/+CEC2013)","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv; cec2013/{alg}/{alg}_cec2013_D{10,30,50}.csv; cec2011/{alg}/{alg}_cec2011.csv","exploratory; labels only","none","cec2017/robustness/robustness_cec2017_r07_secondary_suite_effect.csv + primary_stats/statistical_results.csv","RS-10;RS-11",""
"AN-ROB-2017-08","EXPLORATORY robustness check 8 (= robustness_plan.md R7 per its Sec.1.0 crosswalk): dimension-aggregation variants of the descriptive overall row - pooled (function,dimension)-block Friedman variant vs the primary descriptive unweighted mean of per-dimension Friedman mean ranks; the pooled block-Friedman appears ONLY as this check's output, never as the T05 overall row (SAP Sec.5/Sec.10)","CEC2017 overall descriptive row (4 dimensions)","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","exploratory; labels only","none","cec2017/robustness/robustness_cec2017_r08_overall_aggregation_variants.csv + primary_stats/statistical_results.csv","RS-01",""
"AN-EXP-BH-2017","EXPLORATORY Benjamini-Hochberg FDR relabeling [benjamini1995controlling] of the AN-PWRUN-2017-* tests at q=0.05; SEPARATE family, clearly captioned 'exploratory FDR analysis; not comparable to Holm results'; never headline; never mixed with Holm inside one claim (SAP Sec.6b)","CEC2017 all 4 dimensions; same tests as AN-PWRUN-2017-* (apgsk exclusions inherited {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed})","per_run","cec2017/{alg}/per_run.csv","BH-FDR q=0.05; separately-labeled exploratory family; no mixed families","direction from signed statistic; no additional effect machinery","cec2017/wilcoxon_run_cec2017_D{10,30,50,100}_exploratory_bh.csv + primary_stats/statistical_results.csv","RS-07",""
"AN-ABL-SCAFFOLD","PHASE_12_ONLY: scaffold single-toggle ablation cells (ACE/NLPSR/BSE/archive/linkage/local search toggles) vs full (ARGP, final polish, and deep-stall restart are pre-registered exclusions/overlay cells per ablation_preregistration.md), byte-stable per C4; reuses Section 6/7 machinery unchanged (Wilcoxon/Holm; A12/Cliff + BCa); methods frozen now so Phase 12 cannot tune to outcomes (SAP Sec.1/Sec.12)","future promoted ablation release; suite/dims per that release's design","per_run (future ablation release)","FUTURE promoted ablation release only (does NOT exist in rel-2026-07-10-262fc16c9); results/_ablation staging QUARANTINED and never admissible","Holm within each ablation (suite,dimension,toggle) family; alpha=0.05; per Section 6 machinery","A12 + Cliff's delta; BCa 95% CI, B=10000, Section 7 seed scheme","papers/analysis/<future-ablation-release-id>/ablation/ablation_matrix_rank_summary_cec2017_D{10,30,50,100}.csv (supplement-phase12 only)","AB-01","X-ABL-01;X-ABL-03"
"AN-ABL-SGSM-OVERLAY","PHASE_12_ONLY: full / no-adaptive / no-sgsm cells on the CEC2013 'hold-out'-NAMED ablation design ('hold-out' used ONLY as the design's frozen name; never suite-independence wording); Section 6/7 machinery unchanged (SAP Sec.1/Sec.12)","future promoted ablation release; CEC2013 design, D>=50 focus per RQ-A2","per_run (future ablation release)","FUTURE promoted ablation release only; results/_ablation staging QUARANTINED","Holm within each ablation cell family; alpha=0.05","A12 + Cliff's delta; BCa 95% CI per Section 7","papers/analysis/<future-ablation-release-id>/ablation/ablation_overlay_rank_summary_cec2013_D{50,100}.csv (supplement-phase12 only)","AB-02","X-ABL-02"
"AN-ABL-POLISH","PHASE_12_ONLY: final_polish_enabled toggle - full vs no_finalpolish (the pre-registered FOURTH SGSM-overlay cell, ablation_preregistration.md Sec.2) under Wilcoxon/Holm; Section 6/7 machinery unchanged (SAP Sec.1/Sec.12)","future promoted ablation release; CEC2013 overlay design D50/D100 (polish active at D>=50)","per_run (future ablation release)","FUTURE promoted ablation release only; results/_ablation staging QUARANTINED","Holm within the polish-toggle family; alpha=0.05","A12 + Cliff's delta; BCa 95% CI per Section 7","papers/analysis/<future-ablation-release-id>/ablation/ablation_polish_toggle_cec2013_D{50,100}.csv (supplement-phase12 only)","AB-03","X-ABL-02;X-ABL-03"
