citation_key,file,in_build,line,section,semantic_role,in_allowed_57,evidence_card,usage_condition_class,evidence_card_supported,context
chalabi2023mogsk,sections/related_work.tex,yes,127,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/chalabi2023mogsk.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),"multiobjective search~\cite{chalabi2023mogsk} and to dual-population,"
ma2023mgskdpmo,sections/related_work.tex,yes,129,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/ma2023mgskdpmo.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),"histories~\cite{ma2023mgskdpmo,tanabe2013shade}. Across all of these"
tanabe2013shade,sections/related_work.tex,yes,129,The GSK Family: From Fixed Parameters to Adaptive Configuration,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2013shade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"histories~\cite{ma2023mgskdpmo,tanabe2013shade}. Across all of these"
mohamed2020gaining,sections/related_work.tex,yes,150,The GSK Family: From Fixed Parameters to Adaptive Configuration,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),GSK~\cite{mohamed2020gaining} & Junior/senior gaining-sharing operator
mohamed2020agsk,sections/related_work.tex,yes,153,The GSK Family: From Fixed Parameters to Adaptive Configuration,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"\agsk{}~\cite{mohamed2020agsk} & Four-setting $(KF, KR)$ probability"
apgsk2021,sections/related_work.tex,yes,157,The GSK Family: From Fixed Parameters to Adaptive Configuration,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\apgsk{}~\cite{apgsk2021} & Negative-$KF$ pool after half budget;
fdbagsk2023,sections/related_work.tex,yes,161,The GSK Family: From Fixed Parameters to Adaptive Configuration,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\fdbagsk{}~\cite{fdbagsk2023} & Fitness--distance-balance replacement of
alfadli2025atmals,sections/related_work.tex,yes,165,The GSK Family: From Fixed Parameters to Adaptive Configuration,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\atmals{} \cite{alfadli2025atmals} & Gaussian/EWMA memory auto-tuning of
jawad2024egsk,sections/related_work.tex,yes,170,The GSK Family: From Fixed Parameters to Adaptive Configuration,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\egsk{}~\cite{jawad2024egsk} & Population-sum selection; self-adaptive
omidvar2014dg,sections/related_work.tex,yes,191,Structure Learning Outside the GSK Family,differential grouping and decomposition comparison/future work,PASS,evidence_cards/omidvar2014dg.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),separability~\cite{omidvar2014dg}.
hansen2001cmaes,sections/related_work.tex,yes,195,Structure Learning Outside the GSK Family,covariance-adaptation conceptual comparison,PASS,evidence_cards/hansen2001cmaes.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),time~\cite{hansen2001cmaes}.
guo2015eig,sections/related_work.tex,yes,198,Structure Learning Outside the GSK Family,eigenvector crossover comparison,PASS,evidence_cards/guo2015eig.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),cumulative memory --- at $O(D^3)$ per generation~\cite{guo2015eig}.
fialho2010adaptive,sections/related_work.tex,yes,202,Structure Learning Outside the GSK Family,"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited",PASS,evidence_cards/fialho2010adaptive.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"only~\cite{fialho2010adaptive,auer2002finite}: ACE is not claimed to"
auer2002finite,sections/related_work.tex,yes,202,Structure Learning Outside the GSK Family,"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited",PASS,evidence_cards/auer2002finite.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"only~\cite{fialho2010adaptive,auer2002finite}: ACE is not claimed to"
kolda2003directsearch,sections/related_work.tex,yes,206,Structure Learning Outside the GSK Family,compass/direct-search basis,PASS,evidence_cards/kolda2003directsearch.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"structure~\cite{kolda2003directsearch,nelder1965simplex}."
nelder1965simplex,sections/related_work.tex,yes,206,Structure Learning Outside the GSK Family,Nelder-Mead basis (with gao2012implementing),PASS,evidence_cards/nelder1965simplex.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"structure~\cite{kolda2003directsearch,nelder1965simplex}."
jawad2024egsk,sections/related_work.tex,yes,285,Positioning of \dtgsk{,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"which depends on a gradient-based solver~\cite{jawad2024egsk}, and"
alfadli2025atmals,sections/related_work.tex,yes,287,Positioning of \dtgsk{,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),overhead its authors acknowledge~\cite{alfadli2025atmals}. \dtgsk{}'s
mohamed2020agsk,sections/related_work.tex,yes,294,Positioning of \dtgsk{,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$D \leq 20$~\cite{mohamed2020agsk,apgsk2021}, and \fdbagsk{} at a"
apgsk2021,sections/related_work.tex,yes,294,Positioning of \dtgsk{,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$D \leq 20$~\cite{mohamed2020agsk,apgsk2021}, and \fdbagsk{} at a"
fdbagsk2023,sections/related_work.tex,yes,295,Positioning of \dtgsk{,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),$1000 \times D$ budget without $D = 10$~\cite{fdbagsk2023}. The two
jawad2024egsk,sections/related_work.tex,yes,297,Positioning of \dtgsk{,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"significantly worse than \agsk{} at $D = 10$~\cite{jawad2024egsk}, and"
alfadli2025atmals,sections/related_work.tex,yes,298,Positioning of \dtgsk{,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\atmals{} is competitive-only there~\cite{alfadli2025atmals}.
alfadli2025atmals,sections/related_work.tex,yes,303,Positioning of \dtgsk{,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),dimension~\cite{alfadli2025atmals}. This paper meets that regime head-on:
apgsk2021,sections/related_work.tex,yes,311,Positioning of \dtgsk{,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"new~\cite{apgsk2021}), the budget-safe escape"
zhang2009jade,sections/related_work.tex,yes,312,Positioning of \dtgsk{,adaptive DE and external-archive lineage,PASS,evidence_cards/zhang2009jade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"in the JADE/SHADE archive lineage~\cite{zhang2009jade,tanabe2013shade},"
tanabe2013shade,sections/related_work.tex,yes,312,Positioning of \dtgsk{,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2013shade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"in the JADE/SHADE archive lineage~\cite{zhang2009jade,tanabe2013shade},"
mohamed2020gaining,sections/related_work.tex,yes,320,Positioning of \dtgsk{,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"unchanged~\cite{mohamed2020gaining}, while the surrounding generation mechanics"
awad2016problem,supplementary.tex,yes,183,(preamble),"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor",PASS,evidence_cards/awad2016problem.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"(function, dimension) cell, and $\mathrm{MaxFES} = 10^{4} \cdot D$~\cite{awad2016problem}."
das2011cec2011,supplementary.tex,yes,188,(preamble),verified CEC2011 definition role,PASS,evidence_cards/das2011cec2011.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),objective value is authoritative~\cite{das2011cec2011}.
liang2013cec2013,supplementary.tex,yes,192,(preamble),verified CEC2013 definition role,PASS,evidence_cards/liang2013cec2013.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"cell, and $\mathrm{MaxFES} = 10^{4}\,D$~\cite{liang2013cec2013}."
yue2020cec2020,supplementary.tex,yes,198,(preamble),verified CEC2020 definition role,PASS,evidence_cards/yue2020cec2020.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$10^{7}$ at $D = 5, 10, 15, 20$ respectively~\cite{yue2020cec2020}."
li2013lsgo,supplementary.tex,yes,203,(preamble),verified CEC2013-LSGO definition role,PASS,evidence_cards/li2013lsgo.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),best-objective basis~\cite{li2013lsgo}.
wilcoxon1945individual,supplementary.tex,yes,218,(preamble),signed-rank test,PASS,evidence_cards/wilcoxon1945individual.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),test~\cite{wilcoxon1945individual} with Holm's step-down
holm1979simple,supplementary.tex,yes,219,(preamble),family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),correction~\cite{holm1979simple} at family level and $\alpha = 0.05$;
friedman1937use,supplementary.tex,yes,222,(preamble),Friedman/rank/post-hoc practice,PASS,evidence_cards/friedman1937use.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),Panel ranking uses the Friedman test~\cite{friedman1937use} with the
demsar2006statistical,supplementary.tex,yes,224,(preamble),Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),analysis~\cite{demsar2006statistical}.
efron1993introduction,supplementary.tex,yes,540,Descriptive Bootstrap Rank-Stability Intervals on the CEC2017 Friedman Mean Ranks,BCa bootstrap,PASS,evidence_cards/efron1993introduction.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),(BCa) bootstrap descriptive rank-stability intervals~\cite{efron1993introduction} to the
demsar2006statistical,supplementary.tex,yes,570,Descriptive Bootstrap Rank-Stability Intervals on the CEC2017 Friedman Mean Ranks,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),separable~\cite{demsar2006statistical}.
mohamed2020gaining,supplementary.tex,yes,1150,Frozen Configuration and Freeze Manifest,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"comparators --- GSK~\cite{mohamed2020gaining}, \agsk{}~\cite{mohamed2020agsk},"
mohamed2020agsk,supplementary.tex,yes,1150,Frozen Configuration and Freeze Manifest,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"comparators --- GSK~\cite{mohamed2020gaining}, \agsk{}~\cite{mohamed2020agsk},"
apgsk2021,supplementary.tex,yes,1151,Frozen Configuration and Freeze Manifest,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"\apgsk{}~\cite{apgsk2021}, \fdbagsk{}~\cite{fdbagsk2023},"
fdbagsk2023,supplementary.tex,yes,1151,Frozen Configuration and Freeze Manifest,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"\apgsk{}~\cite{apgsk2021}, \fdbagsk{}~\cite{fdbagsk2023},"
alfadli2025atmals,supplementary.tex,yes,1152,Frozen Configuration and Freeze Manifest,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\atmals{}~\cite{alfadli2025atmals} and \egsk{}~\cite{jawad2024egsk} --- exactly
jawad2024egsk,supplementary.tex,yes,1152,Frozen Configuration and Freeze Manifest,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\atmals{}~\cite{alfadli2025atmals} and \egsk{}~\cite{jawad2024egsk} --- exactly
awad2016problem,supplementary.tex,yes,2025,Remove-One Design,"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor",PASS,evidence_cards/awad2016problem.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$\mathrm{MaxFES} = 10^{4}\cdot D$~\cite{awad2016problem}, and $51$ runs per"
friedman1937use,supplementary.tex,yes,2061,Statistical Treatment,Friedman/rank/post-hoc practice,PASS,evidence_cards/friedman1937use.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"the Friedman test~\cite{friedman1937use, demsar2006statistical} on the"
demsar2006statistical,supplementary.tex,yes,2061,Statistical Treatment,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"the Friedman test~\cite{friedman1937use, demsar2006statistical} on the"
wilcoxon1945individual,supplementary.tex,yes,2071,Statistical Treatment,signed-rank test,PASS,evidence_cards/wilcoxon1945individual.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"test across functions~\cite{wilcoxon1945individual}, Holm-corrected"
holm1979simple,supplementary.tex,yes,2072,Statistical Treatment,family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),~\cite{holm1979simple} within each dimension's family of six disabled-cell
wilcoxon1945individual,supplementary.tex,yes,2119,Statistical Treatment,signed-rank test,PASS,evidence_cards/wilcoxon1945individual.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),signed-rank test across the 29 functions~\cite{wilcoxon1945individual} with
holm1979simple,supplementary.tex,yes,2120,Statistical Treatment,family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),Holm correction~\cite{holm1979simple} within each dimension's six-comparison
awad2016problem,supplementary.tex,yes,2296,Conditional-Benefit Analysis by Function Class (Post-Hoc),"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor",PASS,evidence_cards/awad2016problem.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"CEC2017 classes~\cite{awad2016problem} --- unimodal (F1, F3), simple multimodal"
li2013lsgo,supplementary.tex,yes,2416,"Protocol, Evidential Tiers, and Scope",verified CEC2013-LSGO definition role,PASS,evidence_cards/li2013lsgo.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),paper~\cite{li2013lsgo}.  Statistics on this suite use the raw best
molina2018shadeils,supplementary.tex,yes,2449,"Protocol, Evidential Tiers, and Scope",competition context only where the source supports the stated claim,PASS,evidence_cards/molina2018shadeils.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),SHADE-ILS~\cite{molina2018shadeils} and MOS~\cite{latorre2013mos} ---
latorre2013mos,supplementary.tex,yes,2449,"Protocol, Evidential Tiers, and Scope",competition context only where the source supports the stated claim,PASS,evidence_cards/latorre2013mos.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),SHADE-ILS~\cite{molina2018shadeils} and MOS~\cite{latorre2013mos} ---
yue2020cec2020,supplementary.tex,yes,2882,CEC2020 Bound-Constrained Suite,verified CEC2020 definition role,PASS,evidence_cards/yue2020cec2020.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),competition's own~\cite{yue2020cec2020}: 10 functions at
apgsk2021,supplementary.tex,yes,2904,CEC2020 Bound-Constrained Suite,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"AGSK was the runner-up of the CEC2020 competition~\cite{apgsk2021}, and"
apgsk2021,supplementary.tex,yes,2932,Descriptive Standing,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),the runner-up~\cite{apgsk2021} --- \dtgsk{} places fourth; the family
