change_id,reason,evidence,affected_phases,affected_claims,affected_artifacts,rerun_plan,approver,status
CR-0022,"Three defects in the frozen supplementary artifact, found by a four-seat adversarial code audit that re-derived every implementation claim from the shipped pub profile. (a) MATERIAL, and a main-text/supplement contradiction: papers/build_prompt_phases/phase_03/parameter_table_detail.tex line 73 carries the row 'trust-region budget policy | present, runtime-inert | redundant guard; not an active mechanism'. That file is \input by papers/supplementary.tex:1526, so the row renders on page 43 of the frozen supplementary.pdf. It is wrong on three counts. The trust-region displacement governor was REMOVED from the code at the paper freeze, which the main manuscript itself states (papers/sections/proposed_algorithm.tex:674-676), so the row names a mechanism that does not exist. The flag actually enabled at D>=100 is budget_policy_enabled, and it is not runtime-inert: it sets terra_ls_allowed = (nfes_used/max_nfes >= 0.70), which is ANDed into the coordinate-local-search trigger. It is therefore an active mechanism. The main manuscript describes it correctly at proposed_algorithm.tex:224 ('a budget/ROI gate additionally gates the local search'), so the supplement and the main text disagree and the supplement is the wrong one. It is also not exactly redundant with the tier's local_search_start_frac=0.70: the policy reads the consumed fraction BEFORE the BSE escape block while the local-search time gate reads it AFTER, and the escape consumes evaluations, so on the generation that crosses 0.70 inside an escape the policy suppresses a local search the time gate admits. (b) MINOR: the supplement prints the five-arm pi_0 vector (0.05,0.05,0.45,0.05,0.40), which sums to 1.00, and then states that for 20<=D<100 a sixth differential-evolution arm 'enters with initial probability 0.10-0.20 by tier' (supplementary.tex:1546-1563), with no mention of the rescale. As printed the six probabilities sum to 1.10-1.20. The shipped code rescales the five by 1-pi_DE and re-projects onto the simplex, giving (0.05,0.05,0.40,0.05,0.355,0.095) at 20-49 and (0.05,0.05,0.35,0.05,0.31,0.19) at 50-99. (c) MINOR OMISSION: the blockwise linkage mask's own dimension gate (linkage_min_dim = 10 below D=50, 30 above) appears nowhere in the supplement's detail table, which is introduced by the sentence 'Both halves derive from the same hash-frozen configuration and no value is omitted' (supplementary.tex:1523). The main manuscript does state the gate (proposed_algorithm.tex:236 and the tab:dim-gating caption), so the package is incomplete where it claims completeness rather than wrong.","Code, verified directly rather than on the audit's word: src/gsk_family/optimizers/_dt_core.py:3362-3365 records the trust-region governor's removal ('TR-GSK trust-region displacement governor removed in v4.1-paper-freeze (runtime-dead)') with terra_trust_clip_rate pinned to 0.0; :3915-3924 is the live budget_policy_enabled branch setting terra_ls_allowed from tau >= 0.70; :4149 ANDs it into the local-search trigger; :3922 (pre-escape read) versus :4113 (post-escape read) with budget.eval_batch_safe at :3962 and :4040 establishes the divergence. _dt_profiles.py:187 sets budget_policy_enabled=True at D>=100 and :113 sets local_search_start_frac=0.70. The pi_0 vectors were recomputed by running build_pub_config(D, seed=20240620, max_nfes=10000*D) and the shipped _ace_project_probs at D=10/30/50/100; linkage_min_dim was read the same way (10/10/30/30). Render confirmed with PyMuPDF: the string 'present, runtime-inert' appears on page 43 of papers/supplementary.pdf. Note the supplement is CORRECT on four other constants the audit checked -- the K_R coverage floor (supplementary.tex:1747-1748), the 0.5 ISM linkage mix (:1746), the D>=100 update thinning (:1648) and the conditional senior widening (:1755-1757) -- so this is a narrow defect set, not a systemic one.","3,5,12","NONE - no claim, number, rank, p-value or registered outcome is affected; the defect is in descriptive parameter text","papers/build_prompt_phases/phase_03/parameter_table_detail.tex (line 73, and the pi_0 row); papers/supplementary.tex (1523, 1546-1563); papers/supplementary.pdf; papers/supplementary.docx","NONE. No experiment, analysis, optimizer path or reported number is involved -- this is descriptive text about a mechanism, not a result. No rank, p-value, test, standing or registered outcome moves. The cost is a production re-mint only: rebuild supplementary.pdf/.docx at the pinned epochs (PDF 1783468800, DOCX 1783641600), twice for reproducibility, re-run the gate suite, re-mint the manifest as pass-31 and cut a superseding tag v2.6 with CITATION.cff bumped IN the tagged state. Main manuscript, cover letter and the three CSVs are untouched, so 2 of the 15 tracked hashes move.",Raised by Claude 2026-08-01 from the four-seat code audit; author decision pending,"APPROVED AND CLOSED 2026-08-01 (author directive ""fix all""). All three defects fixed and shipped in freeze pass-31 / tag v2.6. (a) The 'trust-region budget policy | present, runtime-inert | not an active mechanism' row is replaced by the budget/ROI gate it actually is: it admits the coordinate local search only from consumed budget fraction 0.70, duplicating the tier's local-search start but read before the escape rather than after it, and the trust-region displacement governor it descends from was removed from the code at the paper freeze. The supplement and the main text now agree. (b) The supplement states the DE rescale explicitly and gives the shipped starting vectors, so the six arm probabilities no longer print as summing past 1. (c) A linkage minimum-dimension row (10 below D=50, 30 at or above) is added to the detail table that claims no value is omitted. Verified: five artifacts byte-identical across two builds at the pinned epochs, check_manifest 15/15 at the pass-31 mint, all eleven gates green. No number, rank, p-value or registered outcome moved, as forecast. See D-0034."
CR-0023,"Journal round-1 major revision (algorithms-4507562, 2 reviewers, MAJOR REVISION 2026-08-24). Six of the ten reviewer points close with zero optimizer runs and are executed here; the other four require ~32,000 new runs and stay open. Raised under D-0047.","papers/review_2026_08_24/reviewer_reports_verbatim.md (both reports verbatim, plus reviewer 1's PDF; author-local, withheld from the public repository under D-0049). Recomputation evidence for (a) reproduced independently from benchmarks/cec_reference_results/_ablation/**; scope evidence for (e) at main.tex:180, introduction.tex:89, performance.tex:889 and :1239, conclusions.tex:104, supplementary.tex:1376.","3,5,8,12","NO claim, rank, p-value, effect size or registered outcome is invalidated. MT-01's permitted_wording is amended (control -> configuration) with its no-novel-operator constraint untouched. All seven component-study omnibus p-values DECREASE under the corrected convention; no Holm decision changes.","(a) R1.4 statistics: papers/scripts/{regen_cec2017_contrasts,promote_cec2017_overlay,generate_ablation_exhibits}.py; supplementary.tex; tables/SA01.tex, SA02.tex, word_sources/SA01.json; three overlay contrasts JSONs (additive keys only); _ablation/manifest.json. (b) R1.2 retitle + ACE re-gloss: 20 files incl. main.tex, supplementary.tex, both cover letters, build_docx.py docProps, CITATION.cff, README.md, SUBMISSION_KIT.md, citation_usage_map.csv (30 rows). (c) R2.4 ISM de-emphasis: abstract, keywords (5 places), performance.tex runtime. (d) R2.5 + R1.1: performance.tex:12, conclusions.tex:47, merged abstract. (e) R2.6 scope limb + S7 disclosures; comparability_audit.md, _ablation/manifest.json and run_ablation.py label corrections; evidence_gap_register.md T21/T22. (f) pass-39 re-mint + CITATION.cff 2.14.","NONE for the six points executed here -- all six are text, presentation-convention or reanalysis of frozen data. check_frozen_analysis 115/115 byte-identical. The four remaining points (R1.3/R2.2, R2.1, R2.3, R2.7) DO require new runs and are tracked separately; they are not part of this CR.",Raised by Claude 2026-08-25 under D-0047; author directed each phase in turn.,"APPROVED AND EXECUTED 2026-08-25, sub-items (a)-(f). Freeze pass-39 minted. TAG v2.14 DELIBERATELY WITHHELD by author directive until the four experiments are complete and their results integrated and validated -- CITATION.cff is advanced to 2.14 so the eventual tag ships a correct file. CLOSED 2026-08-26: the experimental closure this CR waited on is complete, tracked and closed separately as CR-0024 under D-0048. Freeze pass-40 supersedes pass-39 and the v2.14 tag is cut from it."
CR-0024,"Experiment track of the Algorithms round-1 major revision: the four reviewer points that could not be closed without new optimizer runs (R2.3 refinement-basis isolation, R1.3/R2.2 matched population size, R2.1 tiered vs tier-constant, R2.7 parameter sensitivity), plus their write-up into the manuscript. Raised under D-0047 and resolved under D-0048. Split from CR-0023, which covered only the six zero-run points.","Pre-registration signed 2026-08-25 before any result existed: papers/review_2026_08_24/revision_experiments_preregistration.md (hypotheses, Holm family structure per experiment, reporting convention, and the manuscript wording for each possible outcome including the adverse ones; amendments A1 and A2 appended post-hoc and disclosed). Raw evidence: benchmarks/cec_reference_results/_revision/ (release rev-rel-2026-08-26-dd42d37eb, 252 files, non-superseding). Analysis: papers/analysis/rev-rel-2026-08-26-dd42d37eb/ (self-manifested; 11 fail-closed known-answer pins reproduced; seed pairing verified by seed identity, 0 mismatches). Campaign: 31 legs, 32,451 runs, 22.19 h, zero failures.","3,5,8,12","TWO SUBMITTED CLAIMS FALSIFIED AND ACCEPTED. (1) C1's learned eigenbasis: E1 finds the plain coordinate axes outperform it at D = 50 (Holm 1.4e-4, 25 of 29 functions) and not separated at D = 100 -- C1 renamed 'a deterministic final polish' and claimed basis-neutrally; the polish itself is vindicated against no refinement at both tiers. (2) C2's tiering at D = 30: E3 finds the D = 10 parameter set beating the shipped one on 20 of 29 functions (Holm 5.5e-3) -- C2 narrowed to the demonstrated dimensions and the 20 <= D < 50 tier disclosed as mis-specified. E2 leaves the standing intact (top two at every dimension) but the D = 50 and D = 100 rank claims are qualified as resting in part on the NP = 5D rule. E4 is exploratory and licenses no claim. NO PRIMARY RESULT CHANGED: check_frozen_analysis 115/115 byte-identical.","New: papers/tables/{SA05,SA06,SA07,SA08}.tex + word_sources/*.json; papers/scripts/generate_revision_exhibits.py; papers/review_2026_08_24/response_to_reviewers.md. Modified: papers/supplementary.tex (Section S9 and its four subsections); papers/main.tex (abstract C1 basis-neutral); sections/{introduction,proposed_algorithm,performance,conclusions}.tex; papers/cover_letter.{md,tex,pdf} (converted to revision-1 form); CITATION.cff (release date and preferred-citation status); papers/scripts/validate_cross_format_parity.py (one narrow rule: a display cell reproducing a semantic value of its own row verbatim is derivable outright -- STRICTER than the per-number check it short-circuits); all four submission artifacts rebuilt.","COMPLETE -- this CR IS the rerun. 32,451 runs executed 2026-08-26 on the unified Threefry seed schedule shared with the frozen legs, so every paired test is paired run-for-run. No further runs are planned or required: the D = 30 tier repair that E3 and E4 both point at is left to future work rather than retro-fitted into a paper whose configuration is hash-frozen and pre-registered.",Raised by Claude 2026-08-26 under D-0047; author directed the campaign and the write-up.,"APPROVED, EXECUTED AND CLOSED 2026-08-26. All four experiments run, promoted, analysed and written into Supplementary Section S9 (Tables A43-A46); pre-registered adverse-branch wording applied unmodified for E1 and E3; response letter written. Freeze pass-40 minted, anchor 77f9bc0, check_manifest 15/15. Gate battery all exit 0 including cross_format_parity 761 rows / 0 FAIL and check_frozen_analysis 115/115. TAG v2.14 CUT from this pass: the author's 2026-08-25 hold required the four experiments to be complete, integrated and validated, and all three conditions are met."
CR-0025,"Correction pass against the PUBLISHED round-one revision (pass-41 / v2.14), before the SuSy resubmission. Twelve alleged defects in the shipped artifacts were verified independently and then challenged in the opposite direction. Nine survived and are corrected: the Table A45 caption asserting that the tie counts confirm both identity controls while the table beneath printed 2/25/2 for the D = 100 control (C1); the false self-audit that the population qualification is stated wherever the rank claims appear (C2); a universal falsified by the revision's own matched-population control (C3); 'perturbs no tier threshold' against a threshold the sweep does perturb (C6); an over-broad robustness-variant scope (C7); the 'only fitness-affecting channel' exclusivity claim, merged across two findings (C8+C9); a four-orders-of-magnitude overstatement that recomputes to two (C10); the transplant disclosure (C11); and the missing relativity warning on matched-population ranks (C12). The Data Availability Statement advances to v2.15 together with every artifact that hardcodes the tag.","Adjudication in two rounds: 12 independent verifications, then adversarial challenge of every verdict. 11 of 12 verdicts survived; C4 was REFUTED and its proposed fix rejected as a regression, so C4 is deliberately NOT edited. Of the proposed fixes that were audited, 10 of 11 were unsafe as written and were repaired before application - the diagnoses were reliable, the prescriptions were not. Every FROM anchor was verified byte-exact and unique before any write; per-file line endings were preserved; every edit was then verified in the BUILT PDF and in the DOCX rather than in the sources. C10 recomputed from the strict source: worst function F6 at D = 50 is 8.345e-05 against 7.716e-07, a ratio of 108.2 = 2.03 orders. C12's contested aggregate recomputed to 2.7802 against eGSK 2.8578, the method reproducing the paper's own printed 2.48 and 2.96 exactly. Swallowed-prose sweep: 0 suspicious resumptions introduced, diffed against the pre-pass baseline.","NONE. No experiment, analysis or evidence artifact is touched; check_frozen_analysis reads 115/115 byte-identical.","NO number, rank, p-value, effect size or decision changes. Contribution C3 is explicitly NOT narrowed: byte-stable determinism is claimed in the declared single-threaded environment, and a new D >= 50 regression now demonstrates it in the tier the previous test never reached. The Table A45 residual is reported without asserting a cause.","9 of the 15 freeze-tracked files move: papers/main.tex, sections/{introduction,performance,conclusions}.tex, DT-GSK.pdf, DT-GSK.docx, supplementary.pdf, supplementary.docx, cover_letter.pdf. Also supplementary.tex, cover_letter.tex, cover_letter.md, DT-GSK-plain-summary.tex, CITATION.cff (2.15), SUBMISSION_KIT.md, submission_package_manifest.json, README.md, three docs pages and the untracked reviewer response letter. The two _pandoc shims and docs/html are REGENERATED, never hand-edited.",NONE - no rerun. Wording and one tag only.,author,APPLIED
CR-0026,"Reconcile the Supplementary Material with the response letter before resubmission, and close the hashed-render / unhashed-source blind spot. The letter concedes in plain English that the D = 100 internal control does not hold and that the residual is unexplained; the Supplementary still asserted that no reported number, rank, p-value or decision depends on which revision of the optimizer source is used. Both ship in the same package, so both statements would have reached the referees together.","The exception is verified from the printed exhibit: Table A45's U-high row at D = 100 prints 2/25/2, where an identity control by construction would print 0/29/0. Bound and recomputed: Holm-adjusted p is 1.000 and A12 prints 0.500, which is exactly what a perfect identity would print, and D = 100 carries the largest raw p in its family so it cannot move the D = 10 or D = 50 headline values. No other exhibit draws on that cell, verified exhaustively across the Supplementary, the Conclusions and the method section. BIND audit for the edit: 192 contexts and 597 numeric tokens before and after, zero lost, zero gained.","NONE. No experiment, analysis or evidence artifact is touched; check_frozen_analysis reads 115/115 byte-identical.","NO number, rank, p-value, effect size or decision changes. Contribution C3 is NOT narrowed and no cause is asserted for the residual.","5 of the 15 freeze-tracked files move: papers/main.tex for the tag, and the four main and supplementary renders. cover_letter.pdf does not move. Also CITATION.cff (2.16), SUBMISSION_KIT.md, submission_package_manifest.json, and papers/scripts/check_manifest.py, which gains an additive source_files check.",NONE - no rerun. One prose edit and one tag.,author,APPLIED
CR-0027,"Three optional wording items carried before resubmission, the last entries on the open list. P1: 'no constant tested here is knife-edge' scoped to the magnitude register, so it cannot be read as contradicting the ordinal flip the same paragraph discloses. P2: the differencing prohibition carried into Table A46's caption. P3: the A12 convention declared once, at the subsection's own definition.","P1 verified against papers/tables/SA08.tex: the Ratio column extremes are 0.982 and 1.016, so max |ratio-1| is 1.8 per cent, and the one ordinally-flipping cell (n_min, D=30, hi) has Ratio 1.000 - the two registers are orthogonal in the data, not merely separable. 'in magnitude' is the subsection's own existing phrasing 25 lines earlier. P2 verified by grepping every differencing and re-ranking mention in the supplement: the document's ONLY such prohibition sits at :3760 and is attached to Table A44, so Table A46 had none. P3 verified against papers/scripts/ablation_overlay_effects.py, which takes per-function A12 on raw runs and then the mean over functions, against analyze_revision_experiments.py, which pools 29 x 51 into one list and runs all-pairs - two genuinely different aggregations of the same contrast. BIND audit: 192 contexts and 597 numeric tokens before and after, none lost or gained.","NONE. No experiment, analysis or evidence artifact touched; check_frozen_analysis 115/115.","NO number, rank, p-value, effect size or decision changes.","5 of the 15 tracked files move: papers/main.tex for the tag and the four main and supplementary renders. cover_letter.pdf does not. Also CITATION.cff (2.17), SUBMISSION_KIT.md and submission_package_manifest.json.",NONE - no rerun. Three prose edits and one tag.,author,APPLIED
CR-0028,"Discharge the reader-facing findings of a deep application of the project's own review instrument (papers/PAPER_REVIEW_PROMPT.md): 14 stage-mapped dimensions, 82 findings each adversarially verified. Two Major main-text corrections plus four smaller items.","T1: section 3.5, the subsection defining C1, still asserted that whether the learned basis outperforms coordinate axes is not established and routed to the superseded S6.5, while S9.1 established the opposite (coordinate axes win at D = 50, Holm 1.4e-4, 25 of 29 functions). Found independently by four dimensions; it is the exact point reviewer 2 raised. T2: the evidence-discipline paragraph claimed the pipeline may read only the three releases identified in the Data Availability Statement; the statement identifies four and a main-text result also draws on the ablation overlay release. T3: Table A43's caption described the pooled A12 with the phrase S6.5 uses for the per-function-averaged one, a collision pass-44 sharpened. Verified: BIND contexts and numeric tokens unchanged in all three edited sources, zero lost, zero gained; four artifacts rebuilt twice and byte-compared; twelve gates green; every edit read out of the PDF.","NONE. No experiment, analysis or evidence artifact touched; check_frozen_analysis 115/115.","NO number, rank, p-value, effect size or decision changes. C3 untouched. C1's basis-neutral framing is reinforced, not altered.","7 of the 15 tracked files move: main.tex, sections/proposed_algorithm.tex, sections/performance.tex and the four renders. Also supplementary.tex, CITATION.cff (2.18), SUBMISSION_KIT.md, submission_package_manifest.json.",NONE - no rerun. Wording and one tag.,author,APPLIED
CR-0029,"Round-two batch answering the external second-round audit: the E5 dimension-boundary sensitivity study (registered as pre-registration Amendment A4 BEFORE execution), the canonical near-zero tie rule the paper stated but the revision analyzer had skipped (Amendments A5-A6), the audit's P0 text corrections, and the submission package manifest resynced to the actual bytes.","E5 executed as four new 15-run cells (1,740 runs) plus one registered cell reusing E3's U-low arm; promoted as rev2-rel-2026-08-28-203c78744. Tie rule implemented in src/gsk_family/analysis/statistics.py (wilcoxon_paired zero_tol, default 0.0 preserves callers) with five known-answer tests; analyzer passes 1e-8. One decision flips: E1 D100 eigenframe-vs-coordinate 0.054296 -> 0.048869, now separated.",S9.5 and Table A47 added; S9.1 canonical values regenerated; abstract at 195 texcount words.,One decision changes (E1 D100 separated); C2 as narrowed is untouched by every E5 cell.,"main.tex, supplementary.tex and the four renders; CITATION.cff (2.22), SUBMISSION_KIT.md, submission_package_manifest.json.",E5 executed once; no other rerun.,author,APPLIED
CR-0030,"Reopened-items batch, on the author's explicit instruction to implement every item previously closed by decision or deferred as polish.","D-0051 identity re-execution promoted as g1-rel-2026-08-28-65b3d39e6 with a fail-closed verdict re-derivation (255 cells; 26/26 divergent cells reproduce the transplant arm, 229/229 agreeing cells reproduce both, zero seed mismatches). Figure 4 redesigned; convergence captions tightened; cover letter reframed; references.bib pruned 61 -> 44 with the three citation-control files.",Table A45 caption and the S6 package paragraph now report the residual as a demonstrated build difference; every reviewer/revision-process reference removed from the published artifacts; S9 retitled Mechanism-Isolation and Sensitivity Experiments.,"NO number, rank, p-value or decision changes.","main.tex, supplementary.tex, sections and the four renders; CITATION.cff (2.23), SUBMISSION_KIT.md, submission_package_manifest.json.",NONE - no rerun beyond the already-staged g1 diagnostic.,author,APPLIED
CR-0031,Acceptance-readiness review executed at maximal input over all 92 register passages plus rendered-text sweeps; five verified findings fixed.,"S6.5 asserted the eigenbasis-vs-coordinate question 'remains unidentified' eight lines above the same paragraph's statement that S9.1 answers it (fourth member of the stale-open-claim family). Three revision-process references survived the pass-50 sweep because each wraps across a source line break - caught only in the rendered text. Environment attestation predated pass-49's statistics.py change (613 tests recorded, 618 collected); re-minted green at 618 x2.",S6.5 scoped to phase-level attribution with the basis-level pointer to S9.1; three process references removed; supplement test count 613 -> 618.,"NO number, rank, p-value or decision changes.","supplementary.tex, sections/performance.tex, sections/proposed_algorithm.tex, sections/conclusions.tex and the renders; CITATION.cff (2.24), SUBMISSION_KIT.md, submission_package_manifest.json.",NONE - no rerun. Attestation re-run only.,author,APPLIED
CR-0032,"Seven-lens fourteen-agent panel review of the reviewer-facing response letter; 28 confirmed findings fixed, plus the cover letter's stale register count.","The letter quoted the revised abstract as 'scalar control' where the shipped abstract says 'scalar parameters'; two E1 table cells carried the superseded exact-zero values (6.1e-4, 3.0e-6) instead of the canonical tie-rule values Table A43 prints (6.8e-4, 4.0e-6); SA01/SA02 are internal include filenames that reviewers see as Tables A23-A24. Separately the package manifest's recorded byte sizes had been silently stale since pass-51 - no gate checks them.",Response letter corrected throughout (untracked); cover_letter.tex/.md replaced the stale 84-passage count with count-free wording.,"NO number, rank, p-value or decision changes.","cover_letter.tex, cover_letter.md, cover_letter.pdf, main.tex (DAS tag) and the renders; CITATION.cff (2.25), SUBMISSION_KIT.md, submission_package_manifest.json.",NONE - no rerun.,author,APPLIED
CR-0033,"Full remediation pass on the consolidated findings of five re-applied review instruments: every manuscript, governance, documentation and reproducibility defect fixed, with only submission-day operational actions deferred.","Manuscript: the supplement's ninth limitation asserted the tier boundaries were 'unvaried, so their sensitivity is untested' nine pages before S9.5, which varies them and finds against the shipped profile in two of five cells; no published sentence explained why ISM and its eigenbasis still ship despite measured cost and null benefit; C2's narrowing appeared at one site while C1's appeared at five; the abstract's 'only at CEC2017's D=10' was false for CEC2013 D=10 (p_Holm 0.0017, favourable). Build: the deterministic epoch had been lost from build_pdf.py and build_supplementary.py since pass-51, so the shipped PDFs carried wall-clock timestamps under a manifest claiming double-build determinism; the epoch is now pinned inside both builders and a double build verifies byte-identical.",Supplement limitation reconciled with S9.5; retention rationale added to the Conclusions; C2 narrowed in the Introduction; abstract quantifier scoped; S9.1 pointer added at the alternative-explanations paragraph; LSGO fifty-fold ratio disclosed in the main text; A46 caption states the registered integer convention; C1 stage named consistently; Figure 4 value labels no longer struck by the critical-difference rule.,"NO number, rank, p-value, effect size or decision changes. Every edit is wording, placement or disclosure.","main.tex, all five section files, supplementary.tex and the four renders; plus CITATION.cff (2.26), SUBMISSION_KIT.md, submission_package_manifest.json, reproducibility_manifest.json, build_pdf.py, build_supplementary.py, generate_nemenyi_cd.py.",NONE - no rerun. Figure 4 regenerated from the frozen rel-2026-07-20 bundle.,author,APPLIED
CR-0034,"Merged findings of five re-applied review instruments and three cross-audits after pass-53: the C1 stage rename missing from both architecture tables, a pre-registration auditability claim the squashed public history falsifies, an abstract suite anaphor that made a rank claim false, a tie-band claim contradicted by its own paragraph, an over-absolute unfavorable-cell claim, three findings absent from the Conclusions, the CEC2020 runner-up citation pointing at the APGSK paper, an undisclosed Amendment A3, a cover letter whose Markdown twin contradicted its own adverse-finding count, five red mypy errors under five clean assertions, and a hosted CI asserted by fourteen documents that has never existed",papers/DT-GSK.pdf and papers/supplementary.pdf renders; git cat-file on the recorded signing commit; Table 14 and Table A16 rank cells; papers/governance/decision_log.md D-0059,freeze pass-54,C1 stage name; pre-registration auditability; abstract CEC2013 D=30 rank; C2 narrowing; E1 basis negative at D=100; E2 population-rule bound,papers/main.tex; papers/sections/proposed_algorithm.tex; papers/sections/performance.tex; papers/sections/conclusions.tex; papers/supplementary.tex; papers/cover_letter.tex; papers/main_pandoc.tex; papers/supplementary_pandoc.tex; all five shipped artifacts,"No re-run. No number, rank, p-value or decision changes; every edit is prose, a table label, or a citation key. Both PDFs and both DOCX rebuilt at the pinned epoch and verified byte-reproducible.",author,applied at pass-54 / v2.27 (D-0059)
CR-0035,"Author-directed closure of pass-54 register issues 4-10 after six-agent verification: abstract trimmed to 199 rendered words in unregistered material only, an additive gating-taxonomy sentence in the CEC2020 subsection, six verified supplement caption/prose refinements, three genuine orphan-table references (seven candidates refuted as range-covered), three page-order clearpage flushes, 87 re-based algorithm-guide citations, verbatim register hunk context with the latent tex_escape ordering bug fixed, an orientation blockquote, and two cross-slugger anchor repairs",Six read-only verification agents (workflow wf_2185caa0-005); papers/DT-GSK.pdf and papers/supplementary.pdf renders; papers/analysis/rev2-rel-2026-08-28-203c78744 bundles; the hash-gated _dt_profiles.py; papers/governance/decision_log.md D-0060,freeze pass-55,abstract length and voice (registered sentences byte-identical); inactive-at-D<=20 scoping; A43/A45/A47 caption completeness; E5 adverse mean-rank disclosure; S7.1 port provenance; S9.4 monotonicity claim,papers/main.tex; papers/main_pandoc.tex; papers/sections/performance.tex; papers/supplementary.tex; papers/scripts/build_change_register.py; docs/algorithms/*.md; all five shipped artifacts,"No re-run. No number, rank, p-value or decision changes; every edit is prose, a caption, a cross-reference, a float flush, or a citation number. Both PDFs and both DOCX rebuilt at the pinned epoch and verified byte-reproducible; supplement pagination grew 81 -> 83 by design.",author,applied at pass-55 / v2.28 (D-0060)
CR-0036,"From-scratch re-application of all five review instruments at pass-55/v2.28 (31 findings, 45 agent-refuted): the cover letter's blanket before-any-result-existed pre-registration claim (false for E5 on its natural reading) aligned with the response letter's precise chronology; cover-letter PDF metadata added; RS-12's quoted verbatim aligned to the abstract locus; three unbound shipped figures bound in artifact_binding; plus the batch-A ordinary commits (the stale-claim family's fifth recurrence across seven documents, the live upload-day instructions ordering the register from the superseded v2.27 diff, the missing eGSK source in CITATION.cff, the check_manifest resolvability gate after the pass-55 invented-tail published_commit)",Five instrument agents (workflow wf_e98d4e7c-276); papers/DT-GSK.pdf and cover_letter.pdf renders; git cat-file on the recorded commits; papers/governance/decision_log.md D-0061,freeze pass-56,pre-registration chronology (cover letter); E1 D=100 canonical result in public-facing docs; RS-12 verbatim; figure provenance bindings,papers/cover_letter.tex; papers/cover_letter.md; papers/governance/claims_evidence_matrix.csv; papers/governance/artifact_binding.csv; papers/main.tex (DAS tag); all five shipped artifacts,"No re-run. No number, rank, p-value or decision changes; every edit is prose, metadata, a governance row, or a citation. Rebuilt artifacts verified byte-reproducible at the pinned epoch.",author,applied at pass-56 / v2.29 (D-0061)
CR-0037,"Author-directed closure of the optional-queued and immutable-history register items: artifact_binding's output_checksum column re-derived (84 stale pairs across 48 rows, two independent derivations in agreement, no other column changed); the protocol-conformance sentence added to Section 3.2 after verifying all five suites' in-repo protocol authorities prescribe no population size; the letter's not-a-manuscript-statement aside updated; the freeze manifest gains immutable_history_note disclosing the two unfixable-by-design history blemishes",Two verification agents (workflow wf_b5c71f55-7b6); independent sha256 recomputation; papers/DT-GSK.pdf render (Table 13 reference verified); papers/governance/decision_log.md D-0062,freeze pass-57,figure/table provenance checksums; protocol conformance of both population settings; immutable-history disclosure,papers/governance/artifact_binding.csv; papers/sections/proposed_algorithm.tex; papers/main_pandoc.tex; papers/main.tex (DAS tag); papers/governance/main_manuscript_freeze_manifest.json; all five shipped artifacts,"No re-run. No number, rank, p-value or decision changes; checksum metadata, one protocol sentence, one governance note. Rebuilt artifacts verified at the pinned epoch.",author,applied at pass-57 / v2.30 (D-0062)
CR-0038,"Author-directed author-metadata update: Ali Wagdy Mohamed gains affiliation 2 (University of Science and Technology, Zewail City of Science and Technology, 6th of October City, Giza 12588, Egypt) in the manuscript, the DOCX shim, the Supplementary Materials, CITATION.cff and the submission kit's portal author table; the same close folds in the four-lens sweep's documentation repairs (severed flip sentence, stale next-free ids, package manifest v2.28 note and hand-typed timestamp, What-remains 3-5, P3 pointer)",Author instruction 2026-08-29; four-lens open-issues sweep (workflow wf_b7803afe-c3a); papers/DT-GSK.pdf page-1 render; papers/governance/decision_log.md D-0063,freeze pass-58,author affiliation metadata; documentation currency,papers/main.tex; papers/main_pandoc.tex; papers/supplementary.tex; CITATION.cff; papers/submission/SUBMISSION_KIT.md; all five shipped artifacts; papers/governance manifests; REVISION_STATUS.md; CLAUDE.md,"No re-run. No number, rank, p-value or decision changes; author metadata and documentation only. Renders rebuilt at pinned epochs, main PDF double-built byte-identical, page counts unchanged.",author,applied at pass-58 / v2.31 (D-0063)
CR-0039,"Author-directed author-metadata update: the corresponding author's byline carries the full name Mostafa Elsayed Ahmed Masoud with matching initials M.E.A.M. in the address block, CRediT statement and Conflicts of Interest statement, across the manuscript, Supplementary Materials, cover letter, plain-language summary, CITATION.cff, README, submission kit, response letter and the withheld author-side documents (54 edits, 12 documents)",Author instruction 2026-08-29; papers/DT-GSK.pdf page-1 render; papers/governance/decision_log.md D-0064,freeze pass-59,author name metadata,papers/main.tex; papers/supplementary.tex; papers/cover_letter.tex; papers/DT-GSK-plain-summary.tex; CITATION.cff; README.md; papers/submission/SUBMISSION_KIT.md; all five shipped artifacts; papers/governance manifests,"No re-run. No number, rank, p-value or decision changes; author metadata only. All renders rebuilt at pinned epochs and double-built byte-identical; page counts unchanged.",author,applied at pass-59 / v2.32 (D-0064)
