citation_key,appendix_b_group,appendix_b_role,sanctioned_uses,prohibited_overextensions,usage_condition,evidence_card,identity_status,notes
yue2020cec2020,CEC benchmarks and competition context (B.4),verified CEC2020 definition role,"Citing the CEC2020 suite definition: the ten functions, their unimodal/basic/hybrid/composition classes, the F_i* bias values, the [-100,100]^D range, the shift/rotation construction and the black-box rule (Sec. 1, pp. 2-11). | Citing the official CEC2020 protocol: 30 runs per problem, the per-dimension MaxFES schedule (50,000 / 1,000,000 / 3,000,000 / 10,000,000 for D = 5/10/15/20), uniform random initialization, and termination at MaxFES or error < 1e-8 with sub-1e-8 errors recorded as zero (Sec. 2.1-2.2, p. 12). | Citing the dimension restriction that F6 and F7 are specified for D = 10, 15, 20 only, and the 38-cell protocol grid (8x4 + 2x3) that follows from it (pp. 12, 14). | Grounding the statement that CEC2020 deliberately raises the evaluation budget relative to earlier CEC bound-constrained suites (p. 2). | Citing the competition's own scoring formula (Score1 from normalized errors, Score2 from ranks, dimension weights 0.1/0.2/0.3/0.4) when contrasting it with the manuscript's statistical layer (Sec. 2.4, pp. 15-16).","Do NOT cite for any algorithm's CEC2020 result, score or competition rank; the report contains none. | Do NOT cite it for a 25-run or 51-run protocol, or for a 10,000*D FE budget; CEC2020 is 30 runs with the four-value MaxFES table. | Do NOT present results for F6 or F7 at D = 5 as protocol-conformant, and do NOT describe the grid as 10 functions x 4 dimensions = 40 cells; the report's own count is 38. | Do NOT quote Score / Score1 / Score2 as a per-algorithm quality measure: both are defined relative to the whole competing field. | Do NOT use this report as the definition source for CEC2014 or CEC2017 functions merely because CEC2020 reuses them. | Do NOT attribute any statistical method (Friedman, Wilcoxon, Holm) to it, and do NOT use it to certify that any particular shift/rotation data distribution covers all 38 cells -- it says nothing about data-file availability.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/yue2020cec2020.md,verified,"CR-0020 / ruling R8: row added 2026-07-29. The bib entry already existed (references.bib) and matches the title page verbatim; only the surrounding lockstep was missing. Report dated November 2019, competition year 2020 -- both are correct in their own scope and this is not a metadata defect."
molina2018shadeils,CEC benchmarks and competition context (B.4),competition context only where the source supports the stated claim,"Citing PUBLISHED SHADE-ILS results on CEC2013-LSGO by name and value at the 1.2e5, 6e5 and 3e6 milestones (Tables IV-VII, pp. 5-8). | Citing SHADE-ILS as a specialist large-scale optimizer whose design is explicitly LSGO-targeted: SHADE alternating with MTS LS-1 / L-BFGS-B intensification, improvement-driven LS selection, and a stagnation restart (Sec. II, pp. 2-3). | Grounding the mandatory large-scale limitation sentence (LM-06) that dedicated LSGO specialists reach error levels the general-purpose family does not target -- PROVIDED the sentence quotes the published values and never sets them against this project's own banks as if the protocols matched. | Supporting the historical statement that MOS was the unbeaten LSGO competition winner from 2013 until this paper, flagged as these authors' own characterization (Sec. I, p. 1; Conclusions, p. 6). | Supporting the observation that the SHADE-ILS advantage is budget-dependent and that MOS remains ahead on the fully separable functions f1-f3 (pp. 5-6).","Do NOT present this paper's numbers as protocol-comparable with any 25-run CEC2013-LSGO bank without disclosing that it used 51 runs (Sec. III, p. 3) where li2013lsgo specifies 25. | Do NOT cite it for an official CEC competition rank or award: Figure 2 is the authors' own point aggregation over a four-algorithm field they selected. | Do NOT claim SHADE-ILS superiority over GSK, AGSK, DT-GSK or any GSK-family member; none is evaluated, mentioned or cited anywhere in the paper. | Do NOT claim SHADE-ILS dominates MOS outright: it loses F1, F2, F3, F6 and F10 at 3e6 FEs and loses overall at 1.2e5 FEs, by its own Tables IV and VI. | Do NOT use it as the CEC2013-LSGO suite definition (that is li2013lsgo), and do NOT treat its MOS column as primary -- it reproduces latorre2013mos Table IV. | Do NOT derive a significance, effect-size or rank-test claim from it; it reports win counts and competition points only.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/molina2018shadeils.md,verified,CR-0020 / ruling R8: row added 2026-07-29. Admitted solely so LM-06 can name PUBLISHED SHADE-ILS results; licenses no first-party comparison. DOI and page range CrossRef-verified 2026-07-28; ISBN 978-1-5090-6017-7 printed on PDF p. 1. [RULING 2026-07-31, round-3 CITE-REP-07: the adopted FINAL_PUBLICATION_PLAN 0.4 disclosure sentence (a) - qualitative, valueless, with the explicit no-competitiveness disclaimer - is the sanctioned LM-06 instantiation and supersedes this card's 'quotes the published values' proviso for that locus; see decision_log.md D-0031]
latorre2013mos,CEC benchmarks and competition context (B.4),competition context only where the source supports the stated claim,"Citing PUBLISHED MOS results on CEC2013-LSGO by name and value (Table IV, p. 7), including that they were produced under the suite's own 25-run / 3e6-FE protocol (Sec. IV, p. 4). | Citing MOS as a specialist large-scale optimizer: a High-level Relay Hybrid whose members' participation is reallocated dynamically by average fitness increment, here a GA, Solis and Wets, and the paper's new MTS-LS1-Reduced (Sec. III, p. 2; Sec. IV, p. 4). | Grounding the mandatory large-scale limitation sentence (LM-06) that dedicated LSGO specialists reach error levels the general-purpose family does not target -- PROVIDED the sentence quotes the published values and does not set them against this project's own banks as if the protocols matched. | Supporting a methodological remark that MOS's members were chosen by a documented design-of-experiments procedure (Taguchi SN ratio, Friedman ranks, nWins) rather than ad hoc (Sec. IV, pp. 2-4; Table II, p. 4). | Supporting the statement that MOS is statistically better than each of its composing algorithms and than the special session's reference cooperative-coevolution algorithm (Tables V-VI, pp. 6-7).","Do NOT cite this paper as proof that MOS WON the CEC2013 (or any) LSGO competition: it contains no ranking, no score table and no organizer statement. Winner language is supported in this corpus only as molina2018shadeils's own characterization. | Do NOT quote the Table VI reference-algorithm numbers as DECC-G results: the name is printed three different ways (DECC-G / DECC-CG / DECC-GG) and CR-0020 admitted no DECC-G key. Describe it only as the special session's reference algorithm. | Do NOT claim MOS superiority over GSK, AGSK, DT-GSK, SHADE, L-SHADE, jSO or any algorithm outside Tables II, V and VI; none is evaluated here. | Do NOT present these numbers as comparable with results at a different run count or budget without disclosure; this paper is 25 runs / 3e6 FEs. | Do NOT infer per-run robustness from the mean-versus-median remark: on F6 and F10 the best run is several orders of magnitude below the median (Table IV). | Do NOT use it as the CEC2013-LSGO suite definition (that is li2013lsgo), and do NOT confuse it with latorre2012mos, which is not an admitted key.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/latorre2013mos.md,verified,"CR-0020 / ruling R8: row added 2026-07-29. Admitted solely so LM-06 can name PUBLISHED MOS results; licenses no first-party comparison. The PDF prints no venue line, DOI or folios: DOI 10.1109/CEC.2013.6557901 and pp. 2742-2749 are CrossRef-verified 2026-07-28 and independently corroborated by molina2018shadeils ref. [7]; the booktitle follows the house precedent set by tanabe2013shade." [RULING 2026-07-31, round-3 CITE-REP-07: the adopted FINAL_PUBLICATION_PLAN 0.4 disclosure sentence (a) - qualitative, valueless, with the explicit no-competitiveness disclaimer - is the sanctioned LM-06 instantiation and supersedes this card's 'quotes the published values' proviso for that locus; see decision_log.md D-0031]
nelder1965simplex,Local search and landscape (B.6),Nelder-Mead basis (with gao2012implementing),"Citing the original definition of the Nelder–Mead downhill simplex method (reflection/expansion/contraction/shrink and the standard coefficients) wherever DT-GSK's local-search component derives from or is compared to Nelder–Mead. | Citing it as a derivative-free direct-search local method that adapts to the local landscape, with known weaknesses (possible false convergence; no convergence guarantees). | Pair with gao2012implementing (per Appendix B.6) for modern implementation details; do not use nelder1965simplex alone for implementation-level parameter claims of modern NM variants.","Do NOT cite this paper for convergence guarantees of Nelder–Mead (none are given; later literature documents failure cases). | Do NOT cite it for performance claims on modern benchmark suites or in high dimensions (tests are 2–10 variables, three classical functions). | Do NOT attribute adaptive/restart variants of NM to this paper. | Avoid verbatim quotations: the local copy is an image-only scan, so quotes cannot be checksum-verified against extractable text.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/nelder1965simplex.md,verified,readability_status=image_only_no_text_layer
gao2012implementing,Local search and landscape (B.6),Nelder-Mead basis (with nelder1965simplex),"Citing the standard NM operation set and standard parameters {1, 2, 1/2, 1/2} (Sect. 1, Eq. (1.3), PDF p. 2). | Citing the dimension-adaptive parameter schedule beta = 1 + 2/n, gamma = 0.75 - 1/(2n), delta = 1 - 1/n as the established adaptive-NM (ANMS) choice if DT-GSK's Nelder-Mead endgame uses it (Eq. (4.1), Sect. 4.1, PDF p. 11) — cite only after verifying the frozen code actually implements these formulas. | Supporting the qualitative statement that standard NM degrades with dimension and that dimension-dependent parameters mitigate this on smooth test problems (Theorem 2.1 PDF p. 4; Tables 1, 3, 4 PDF pp. 13-16). | Motivating a bounded design rationale for using an NM-based local polish primarily as an endgame/refinement device rather than a global search.","Do NOT claim ANMS guarantees convergence (authors state no convergence theory; Sect. 5, PDF pp. 17-18). | Do NOT claim ANMS superiority on multimodal, noisy, constrained, or CEC-suite problems; the evidence is smooth classical test functions, n <= 60. | Do NOT use this paper as evidence that an NM endgame improves a metaheuristic; it compares NM variants against each other only. | Do NOT cite printed page numbers 259-277; the local copy lacks them.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/gao2012implementing.md,verified,
kolda2003directsearch,Local search and landscape (B.6),compass/direct-search basis,"Sanctioned basis for describing compass/coordinate/direct search and its properties wherever DT-GSK's final search / polish stage is compared conceptually with direct search (Appendix B.6; master Sect. 5.3 allows eigenframe-polish vs. direct-search comparison ""only at the conceptual level supported by approved sources""). | Citing that direct search is appropriate when derivatives are unavailable (Sect. 1.2, pp. 390-391). | Citing dimension-dependence and slow asymptotic convergence of direct search (p. 390; p. 470). | Citing step-length-based stopping rationale (Theorem 3.3 pp. 409-410; Sect. 3.10; p. 470). | Citing Nelder-Mead's known failure modes and its exclusion from the provably convergent class (pp. 429-430) as bounded motivation for safeguards (restarts, budget caps) around any NM endgame.","Do NOT cite as evidence that direct search (or any DT-GSK polish stage) finds global optima or wins benchmark comparisons. | Do NOT transfer GSS convergence guarantees to DT-GSK's composite algorithm, to its eigenframe polish, or to Nelder-Mead; the theory applies to GSS methods on smooth problems under stated assumptions. | Do NOT imply equivalence between an eigenbasis/eigenframe search and generating-set search; master Sect. 5.3 forbids implying equivalence among support graph, covariance matrix, decomposition, and eigenbasis.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/kolda2003directsearch.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
auer2002finite,Adaptive operator selection and bandits (B.7),"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited","Citing UCB1's index formula x_bar_j + sqrt(2 ln n / n_j) and its finite-time logarithmic regret guarantee (Figure 1 + Theorem 1, p. 237) as the canonical exploration-exploitation allocation rule. | Grounding, at the conceptual level, any bandit-style or confidence-bound-style adaptive control in DT-GSK (e.g., ACE knowledge control), i.e., ""adaptive allocation among discrete options with logarithmic-regret credentials in the stationary case"". | Citing the exploration/exploitation dilemma framing (Abstract, p. 235). | Citing that epsilon-greedy-style rules work well only when well tuned (Sect. 4.1, p. 247) as bounded motivation for confidence-based rather than fixed-epsilon control.","Appendix B.7 (binding): bandit sources ground adaptive operator selection but are ""not proof that the exact ACE mechanism is inherited"". Do NOT claim DT-GSK's controller IS UCB1 or inherits its regret bound unless the frozen code provably implements the exact policy under its assumptions. | Do NOT transfer regret guarantees to the non-stationary rewards of an evolutionary run; the theorems assume time-invariant distributions. | Do NOT claim UCB-style control guarantees optimization performance on any benchmark; regret is defined w.r.t. arm means, not objective optima. | Do NOT cite UCB1-TUNED as having a proven bound (explicitly unproven, p. 245).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/auer2002finite.md,verified,
fialho2010adaptive,Adaptive operator selection and bandits (B.7),"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited","Citing that adaptive operator selection is formally a dynamic bandit problem with an exploration/exploitation dilemma (Sect. 1, p. 914). | Citing the standard AOS decomposition into credit assignment + operator selection rule (Abstract p. 913; Sect. 2 p. 914) when describing where an DT-GSK adaptive controller (e.g., ACE) sits conceptually. | Citing bandit-based operator selection (UCB variants, restart-on-change) as established prior art for adaptive control in evolutionary computation (Sects. 3-4, pp. 915-917). | Citing that operator quality varies along the run, motivating dynamic rather than static adaptation (Sect. 1, p. 914).","Appendix B.7 (binding): grounding only — ""not proof that the exact ACE mechanism is inherited"". Do NOT describe DT-GSK's controller as D-MAB/PM/ AP unless mechanism-level verification against the frozen code shows it. | Do NOT cite as evidence that bandit-based AOS improves optimization performance on any real benchmark; validation is on artificial reward scenarios only (p. 920). | Do NOT generalize the PM/AP-vs-MAB ranking beyond the tested scenarios (the Boolean scenario reversed the dynamic-vs-static ordering, p. 919). | Do NOT cite with journal-style metadata or year 2010 in prose; the work is the GECCO 2008 paper (key remains `fialho2010adaptive` as frozen).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/fialho2010adaptive.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
demsar2006statistical,Statistics (B.8),Friedman/rank/post-hoc practice,"This is the PRIMARY methodology citation for the statistical protocol (master Sect. 7.5-7.6; Appendix B.8): | Friedman omnibus test on per-task ranks (Sect. 3.2.2, p. 11). | Iman-Davenport F correction, pre-registered per CR-0003 (p. 11). | Nemenyi critical-difference diagram for all-pairs display, incl. the CD formula used by `papers/scripts/generate_nemenyi_cd.py` (pp. 11-12, Table 5a; diagrams Sect. 3.2.4, pp. 15-16). | Holm-adjusted comparisons of DT-GSK vs. each comparator as the control-based family (pp. 12-13). | Wilcoxon signed-rank for paired two-algorithm comparisons, including the tie/zero-handling rule the master requires to be reported (Sect. 3.1.3, pp. 7-8). | Justifying WHY non-parametric tests are used instead of t-test/ANOVA (Sects. 3.1.2, 3.2.1; Conclusion p. 27). | Statistical-reporting presentation conventions for the Phase 4 register (master Sect. 8.7 explicitly names this source).","Do NOT use Nemenyi when the manuscript's question is DT-GSK vs. each comparator (control structure) — the paper itself says all-pairs post-hoc wastes power there (p. 12); Nemenyi display only when design matches (master Sect. 7.5). | Do NOT run both Friedman post-hoc families and mix conclusions, and do not claim an algorithm ""belongs to two groups"" in a CD diagram (explicitly called ""a statistical nonsense"", p. 14). | Do NOT feed per-run (paired, dependent) observations into the Friedman test as if they were independent tasks (Sect. 3.2.3, p. 15). | Do NOT cite this paper for effect sizes (A12), bootstrap CIs, or FDR methodology — it does not develop them (FDR only mentioned p. 13); use vargha2000critique, efron1993introduction, benjamini1995controlling. | Do NOT claim the recommended tests control Type 1/2 error at exact rates for optimizer comparisons; the paper provides no such quantification (p. 27).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/demsar2006statistical.md,verified,
friedman1937use,Statistics (B.8),Friedman/rank/post-hoc practice,"Primary/origin citation for the Friedman test whenever the manuscript applies the omnibus rank test over benchmark tasks (master Sect. 7.5): statistic definition (pp. 678-679), df = k-1, chi^2 approximation (p. 679), tie handling by average ranks (p. 681). | Citing that the test is distribution-free with respect to the underlying variate (pp. 675, 680-681) — the justification for using it on non-normal benchmark error distributions. | Citing the small-sample accuracy boundary of the chi^2 approximation when defending the pre-registered Iman-Davenport refinement (pp. 688-694).","Do NOT attribute post-hoc tests, critical-difference diagrams, or the Iman-Davenport correction to this paper. | Do NOT cite it for the claim that Friedman is preferable to ANOVA in machine-learning/optimizer comparisons — that argument belongs to demsar2006statistical; Friedman 1937 only shows modest information loss on one 1935-36 expenditure data set (p. 686). | Do NOT interpret a non-significant Friedman result as evidence of equivalence (explicitly warned against, p. 681). | Do NOT use the p = 2 special case as a substitute for Wilcoxon signed-rank (efficiency only 63.7%, p. 682; Wilcoxon is the sanctioned pairwise test).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/friedman1937use.md,verified,
wilcoxon1945individual,Statistics (B.8),signed-rank test,"Citing the Wilcoxon signed-rank test (paired comparisons of two algorithms across runs or functions) to its original source. | Citing the Wilcoxon rank-sum test (two independent samples) to the same paper if the manuscript uses the unpaired form. | Supporting the statement that the test is based on ranks of the (absolute) differences with signs reattached and uses the smaller signed rank sum as statistic, with ties given mean ranks.","Do NOT cite this paper for asymptotic normal approximations, ties/zeros corrections, continuity corrections, exact power or ARE values (e.g., 3/π vs t) — none of that is here. | Do NOT cite it for the Mann–Whitney U formulation or its stochastic-superiority interpretation (that is Mann & Whitney 1947; and for A12 use vargha2000critique). | Do NOT attribute distribution-free confidence intervals (Hodges–Lehmann etc.) to this paper. | Do NOT cite it for multiple-comparison control (use holm1979simple / benjamini1995controlling) or for multi-algorithm rank tests (friedman1937use, demsar2006statistical).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/wilcoxon1945individual.md,verified,
holm1979simple,Statistics (B.8),family-wise multiplicity control,"Citing Holm's step-down (sequentially rejective Bonferroni) procedure as the family-wise multiplicity correction applied after per-function Wilcoxon tests or after a Friedman omnibus test. | Supporting the statements that (a) Holm controls FWER under arbitrary dependence, (b) it is uniformly more powerful than the single-step Bonferroni correction, and (c) it requires only the individual p-values (works with non-parametric tests).","Do NOT call it ""Holm–Bonferroni step-down"" with attributes not in the source (the paper's own name is ""sequentially rejective Bonferroni test""; describing it as step-down is fine as a modern gloss but any formal property cited must be one proven here). | Do NOT cite this paper for FDR control, Hochberg's or Hommel's step-up procedures, Šidák correction as such (only the independent-statistics variant above appears here), or adjusted-p-value formulations (later formalizations). | Do NOT claim it yields shorter simultaneous confidence intervals (explicitly false per p. 68). | Do NOT cite for power superiority over closed/parametric procedures — the paper concedes those are more powerful in their settings (p. 69).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/holm1979simple.md,verified,
benjamini1995controlling,Statistics (B.8),exploratory FDR only when used,"Citing the Benjamini–Hochberg procedure when the manuscript reports FDR-adjusted results for exploratory, many-comparison analyses (Appendix B.8 gates this to ""exploratory FDR only when used""). | Supporting statements that (a) FDR is the expected proportion of false rejections among rejections, (b) BH controls FDR at q* for independent statistics, and (c) FDR control trades strong FWER protection for power in large exploratory families.","Do NOT cite for FDR control under dependence (PRDS) — that is Benjamini & Yekutieli (2001), outside this corpus. | Do NOT present BH-adjusted results as FWER-controlled conclusions; the paper itself distinguishes these (p. 291, p. 298). | Do NOT use this key for adaptive FDR (m0 estimation), q-values, or resampling-based FDR — later literature. | Do NOT cite it as recommending FDR for confirmatory headline comparisons; its motivation is problems that tolerate a proportion of errors (Section 2.2).",cite only if BH/FDR-adjusted exploratory analyses are actually reported; otherwise key remains unused,evidence_cards/benjamini1995controlling.md,verified,
vargha2000critique,Statistics (B.8),A12 effect size,"Citing the A12 (Vargha–Delaney) effect size used to complement Wilcoxon tests in pairwise algorithm comparisons: definition, unbiased rank-sum estimator, and the .56/.64/.71 interpretation guidelines (with their normal-theory provenance stated or implied as ""conventional thresholds""). | Supporting the statement that A12 is a probability-based, scale-free effect size valid for ordinal data and robust to non-normality, equal to CL for continuous variables. | If the manuscript reports A12 confidence intervals, the rank-Welch/FP-based constructions here support that methodology.","Do NOT attribute A12 to McGraw & Wong, nor cite this paper as merely ""the CL statistic"" — the paper's contribution is the corrected generalization A. | Do NOT present .56/.64/.71 as distribution-free universal cutoffs; they are normal-based guidelines (Table 1 note, p. 106). | Do NOT cite this paper for the Mann–Whitney U test itself (Mann & Whitney 1947; Wilcoxon 1945) or for Cliff's δ inference theory beyond what is reproduced here. | Do NOT claim the paper validates A12-based comparisons of optimization algorithms or any benchmarking protocol. | Do NOT use the multi-group AAD/AAPD machinery as if it were established practice; the authors themselves call it tentative (p. 130).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/vargha2000critique.md,verified,
efron1993introduction,Statistics (B.8),BCa bootstrap,"Citing the book for the general bootstrap methodology: resampling with replacement, bootstrap replications, bootstrap standard errors, plug-in principle, and B-size guidance for SE estimation. | A bare attribution of the form ""the BCa method of Efron and Tibshirani (1993, Ch. 14)"" is supportable ONLY as an attribution of the method to this book (via the ToC locator); any sentence characterizing what BCa does or why must be reworded, dropped, or supported elsewhere.","Do NOT support any technical claim about BCa intervals (definition, z0/acceleration, second-order accuracy, coverage superiority, recommended B for intervals beyond the ""factor of 10"" remark on p. 15) from this key — the pages are absent locally. If the manuscript's methods section explains BCa mechanics, that is an EVIDENCE GAP to be registered (narrow the sentence to the supported attribution, or supply the missing pages). | Do NOT cite for permutation tests, jackknife, cross-validation, prediction error, or bootstrap hypothesis testing — those chapters are outside the excerpt. | Do NOT quote page numbers above 43 as if verified; only ToC-level locators exist for them.",BCa citation only as a book/chapter attribution (local excerpt lacks Ch. 14); general bootstrap methodology fully supported,evidence_cards/efron1993introduction.md,verified,
wolpert1997nfl,Foundations and surveys (B.9),"bounded NFL premise, never proof of expected superiority","Citing NFL as the bounded premise that no optimizer is expected to dominate over ALL problems, hence (a) algorithm design must encode known problem structure, and (b) empirical claims must be scoped to the benchmarked problem classes (CEC2017/CEC2011 suites) rather than ""all problems"". | Supporting careful wording of contribution claims: superiority statements are per-suite/per-dimension empirical findings, not universal expectations.","Appendix B.9 rule: ""bounded NFL premise, never proof of expected superiority."" Do NOT use NFL to argue that DT-GSK (or any method) is expected to be superior, or that observed benchmark wins imply general superiority. | Do NOT invert NFL into ""all algorithms are equal in practice"" — the paper explicitly disclaims practical-performance statements (p. 3) and shows practice depends on alignment with P(f) (Section 4). | Do NOT cite this key for NFL refinements/limitations from later literature (sharpened NFL, focused NFL, non-closed function classes, continuous-domain caveats) — outside this corpus. | Do NOT cite published TEVC page numbers from this preprint copy.","expected use: once, in framing/discussion, to bound claims",evidence_cards/wolpert1997nfl.md,verified,
del2019bio,Foundations and surveys (B.9),field framing and taxonomy only as supported,"Field-framing sentences: the proliferation of bio-inspired metaheuristics, the novelty controversy, and the community's demand for rigorous, benchmark-based, statistically tested comparisons. | Supporting the manuscript's experimental-design choices as community-endorsed practice: standard CEC suites, ≥ 25 (DT-GSK uses more) independent runs, non-parametric pairwise tests (Wilcoxon) with FWER post-hoc corrections (Holm), and rank-based multi-algorithm summaries. | Positioning statements that improving/analyzing existing algorithm families (rather than inventing new metaphors) aligns with the survey's recommendations (Sections 3.13, 4.1).","Appendix B.9 rule: ""field framing and taxonomy only as supported."" Do NOT use this survey as evidence of any specific algorithm's performance, of GSK-family results, or of DT-GSK's positioning relative to named competitors. | Do NOT cite it as the definition source of any CEC suite (suite-definition citations belong to the respective technical reports; note `awad2016problem` is currently BLOCKED). | Do NOT cite it for the mathematical content of NFL (cite wolpert1997nfl) or of statistical tests (cite the primary statistics keys). | Do NOT attribute the Bayesian-testing recommendation to the manuscript's own methodology unless the manuscript actually uses Bayesian tests.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/del2019bio.md,verified,
hussain2019metaheuristic,Foundations and surveys (B.9),field framing and taxonomy only as supported,"Field-framing/taxonomy sentences: the scale and growth of metaheuristic research; the recognized split of the literature into new algorithms, modifications/hybrids, and comparative analyses. | Motivating rigor: the documented criticism that mean/SD-only reporting is ad hoc supports the manuscript's use of formal non-parametric testing, effect sizes, and agreed validation protocols. | Motivating analysis-driven improvement of an existing family (DT-GSK) over inventing new metaphors, via the survey's critical stance on the ""novel metaheuristic"" flood (p. 33).","Appendix B.9 rule: ""field framing and taxonomy only as supported."" Do NOT use this survey for any algorithm-specific performance claim, for GSK-family facts (GSK postdates the corpus), or as evidence about CEC benchmark protocols. | Do NOT extrapolate its 1983–2016 bibliometrics to the present (""research has continued to grow"" needs no citation or a different one). | Do NOT cite it as prescribing any specific statistical test — it calls for agreed criteria but prescribes none (that support comes from demsar2006statistical / the statistics keys / del2019bio).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/hussain2019metaheuristic.md,verified,
awad2016problem,CEC benchmarks and competition context (B.4),"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor","Defining the CEC2017 benchmark protocol actually used here: the 29 scored functions (F2 excluded), [-100,100]^D bounds, D in {10,30,50,100}, MaxFES = D x 10^4, 51 runs, and the 1e-8 error floor. Cite as the suite definition wherever those parameters are stated.","Do NOT cite as a source of competition rankings, comparator results, or any performance claim; do NOT cite for CEC2011 or CEC2013 protocol; do NOT cite the CONSTRAINED CEC2017 report in its place.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/awad2016problem.md,verified,SE-025: row added 2026-07-22. Formerly omitted as inadmissible (wrong local document); unblocked by CR-0005 / decision D-0009 (2026-07-10) when the correct 34-page NTU definitions report was supplied. build_docx.py CITATION_BLOCK_OVERRIDES already records the same un-blocking.
