claim_id,surface,manuscript_location,claim_text_abridged,claim_class,evidence_offered,verification_performed,verification_result,evidence_ceiling_max_supported_wording,disposition,ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status
C-049,statistical protocol,performance.tex:240-246,"BCa intervals accompany the mean ranks (n_boot=10,000, seeded) but resample fixed per-function midranks, so they are descriptive rank-stability intervals, not inferential rank-uncertainty intervals.",STATISTICAL_RESULT / LIMITATION,"T16_bca.tex; bca_ci_cec2017_D*.csv (B=10000, seed_scheme SS[20240620,suite,dim,func,cmp]).",Read T16_bca.tex and checked the seed scheme + B in the released CSVs.,"The self-limiting statement is exactly right and is repeated at §4.2.3 and in the supplement. Deterministic seeding requirement of §10.7 satisfied (explicit SeedSequence entropy list, B=10000).",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-050,statistical protocol,performance.tex:250-262 + Table 13 caption + §4.4,"The Friedman statistic uses the tie-corrected rank variance underlying the Iman-Davenport F ... the omnibus is significant at every dimension (p <= 2.6e-8 on CEC2017; p <= 2.3e-3 on CEC2013; F=4.27, p=6.0e-4 on CEC2011).",STATISTICAL_RESULT,AN-OMNI-2017-D*; AN-OMNI-2013-D*; AN-OMNI-2011-NATIVE.,Read p_value vs p_value_uncorrected from every friedman_ranks_*.csv in the release.,"MIXED BASIS. CEC2017: corrected max p = 1.159690e-09 (D10), uncorrected = 2.576884e-08 -> the printed bound 2.6e-8 is the UNCORRECTED value. CEC2013: printed 3.3e-7 / 2.2e-3 / 9.2e-6 equal the UNCORRECTED p (3.264004e-07, 2.242258e-03, 9.212405e-06); corrected are 5.321814e-08, 1.089721e-03, 2.908506e-06. CEC2011: printed F=4.27, p=6.0e-4 equal the CORRECTED values (4.266899, 6.007858e-04); uncorrected are 3.668834, 2.160258e-03.","Either 'p <= 1.2e-9 (CEC2017), p <= 1.1e-3 (CEC2013)' on the corrected statistic, or a printed statement that the conservative uncorrected p is quoted throughout - but one basis, not both.",qualify,S3-T03,Stage 3,"R6 (T1-OPT lead, claim inventory)",Moderate,P2,Confirmed,statistics,AN-OMNI-2013-D10/D30/D50; AN-OMNI-2017-D10,"Omnibus p-values are quoted from the uncorrected Friedman statistic on two suites and from the tie-corrected statistic on the third, while §4.2.1 declares the tie-corrected form is used.","performance.tex:250-253 declares the tie-corrected statistic; performance.tex:316-317 and 338-339 print 'p <= 2.6e-8' (= uncorrected D10, 2.576884e-08; corrected is 1.159690e-09); performance.tex:599 prints 'p <= 2.3e-3' and :622-626 prints 3.3e-7/2.2e-3/9.2e-6 (all uncorrected; corrected 5.3e-8/1.1e-3/2.9e-6); performance.tex:529-530 prints CEC2011 F=4.27, p=6.0e-4 (corrected).",The CEC2013/CEC2017 bounds predate the M-026 tie-correction change and were not re-derived; CEC2011 was.,"The manuscript invites the check ('Both are released per panel in friedman_ranks_*.csv so the correction can be checked directly'), so a reviewer will run it and find the basis switching between suites. No decision changes (all cells significant under both), which is why this is Moderate and not Major.","Low on inference, meaningful on statistical hygiene; §10.7 requires the reported statistic to match the frozen plan's named estimator.","Re-derive all omnibus p-values from the corrected column (p_value) and print them, or add one sentence stating that the more conservative uncorrected p is quoted for every suite - then make CEC2011 consistent with that choice.","Report both, as the tie-correction paragraph already does for C.",None - both columns are already released.,None,"One declared estimator, uniformly reported.",Recompute every printed omnibus p against friedman_ranks_*.csv p_value and confirm a single column is used.,open
C-060,results,performance.tex:284-286,"Against the original GSK, per-function W/T/L records are 22-4-3, 19-2-8, 22-0-7, 20-0-9 at D=10/30/50/100.",DESCRIPTIVE_RESULT,TAB-T15 GSK rows.,Read T15.tex rows; cross-checked against r01 wtl_primary for D10 (22-4-3).,Exact match in every cell.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-061,results,performance.tex:288-303,"Class-wise: hybrid best-or-equal-best at D>=30 (1.60/1.80/2.30); simple multimodal best at D in {10,50,100} (2.07/2.29/1.71), second at D30 (3.29 vs 2.43); composition weakest at D10 (3.70 behind 2.65/2.75/2.90).",DESCRIPTIVE_RESULT,AN-CLASS-2017 (class_ranks_cec2017.csv).,Recomputed the full category x dimension rank ordering from class_ranks_cec2017.csv.,"Every quoted value and every ordinal statement reproduces exactly, including the two hybrid ties with eGSK (1.60 at D30, 2.30 at D100).",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-062,results,performance.tex:312-330,"Best Friedman mean rank at D10 (2.88), D50 (2.21), D100 (2.34); second at D30 (2.50) behind eGSK (2.29); the Overall column is an unweighted mean with no cross-dimension test attached.",STATISTICAL_RESULT,AN-OMNI-2017-D*; AN-RANKAGG-2017-OVERALL.,Recomputed from friedman_ranks_cec2017_D*.csv and _overall.csv.,Exact. The 'no test attached to the overall row' disclaimer matches §10.7's descriptive-overall-rank disposition and r08 confirms mean-of-dims and pooled-block aggregation agree.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-063,results,performance.tex:319-323,"The favorable ranks coexist with losing head-to-head records against eGSK (11-2-16, 13-0-16, 12-0-17), so first places at D>=50 are earned by consistency against the whole panel, not by dominating eGSK.",COMPARATIVE_RESULT / LIMITATION,TAB-T15 eGSK rows; negative_findings.md item 3.,"Read T15.tex eGSK rows (D30 11/2/16, D50 13/0/16, D100 12/0/17).","Exact, and stated alongside the favorable claim as §10.7 loss-visibility parity requires.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-064,results,performance.tex:361-373 (§4.2.3 opening),"Table 14 reports the Wilcoxon tests, W/T/L counts, A12 effect sizes and Holm decisions ... The A12 column is computed over the 29 per-function means.",STATISTICAL_RESULT,TAB-T15.,Read papers/tables/T15.tex and the rendered Table 14 in DT-GSK.pdf (pdftotext lines 1524-1560).,"There is no A12 column. T15.tex prints columns p, p_Holm, +, ~, -, r, Dec.; the rendered header reads 'r Dec.'. The caption (performance.tex:376-383) correctly describes r. The text describing the table is simply wrong about the shipped exhibit.","'Table 14 reports the Wilcoxon tests, W/T/L counts, the matched-pairs rank-biserial effect size r, and the Holm decisions.'",narrow,S3-T01,Stage 3,"R6 (T1-OPT lead, claim inventory)",Major,P1,Confirmed,claim-scope,TAB-T15 / RS-08,"The main text tells the reader that the paper's central inferential table has an A12 column and explains how to read it; the shipped table has no such column, and four A12 values quoted in the same subsection appear in no exhibit and in no row of the released statistical_results.csv.","performance.tex:361-373 vs papers/tables/T15.tex (header: '$p$ & $p_{Holm}$ & + & ~ & - & $r$ & Dec.') and DT-GSK.pdf Table 14. The quoted values A12 = 0.490 / 0.505 / 0.472 (eGSK, D30/50/100) and 0.712 (APGSK, D100) recompute correctly as the across-function A12 on the 29 per-function means (0.4905, 0.5054, 0.4721, 0.7122) but exist only in the staging export results/paper_tables/T15.csv (phase6_run_analysis.py:2469-2474, whose own comment says 'the rendered table shows the PAIRED one ... A12 is unpaired and stays in the workbook'); a scan of primary_stats/statistical_results.csv finds no across-function A12 row (the only near-hits are unrelated per-function run-level cells).","M-027 switched the rendered effect size from A12 to rank-biserial r. The generator, the caption and the claims registry were updated; §4.2.3's descriptive paragraph and its four quoted A12 values were not.","PAPER_REVIEW_PROMPT §5.5 rates an exhibit reference that 'misdirects the reader to a non-existent or wrong referent' as Major. Here the misdirection is in the results narrative of the primary suite, and four reported statistics have no machine-readable row in the controlled analysis area, contrary to §10.7's Appendix A.7 requirement.","High reviewer-visibility, zero numeric impact: every quoted A12 value is correct and re-derivable, but a reviewer following the text to Table 14 finds a different statistic and cannot reconcile 0.490 with -0.286.","Rewrite the §4.2.3 opening to describe the r column; either (a) restate the four eGSK/APGSK effect sizes as r (-0.286, -0.002, -0.057 and +0.977) or (b) keep the A12 values and add an A12 column (or a supplementary A12 table) plus machine-readable rows in primary_stats/statistical_results.csv.","Minimum acceptable: keep the A12 numbers, but say explicitly 'A12 values quoted here are from the released effect-size workbook, not from Table 14', and add the rows to the analysis bundle.","None if option (a); if option (b), emit across-function A12 rows into statistical_results.csv (read-only re-export from the frozen bundle - no rerun, no new evidence release).",S3-T01a (the same M-027 residue in the protocol paragraph).,The primary-suite narrative becomes auditable from the printed table; every reported statistic regains a machine-readable row.,"Re-render, then confirm (i) no 'A12 column' phrasing survives, (ii) every effect size quoted in §4.2.3 appears either in Table 14 or in a named released CSV row.",open
C-065,results,performance.tex:391-404,"17 of 24 Holm-corrected cells are significant wins, 7 show no difference, none is a loss; a descriptive tally over four within-dimension families. Applying Holm across all 24 leaves 15 significant, the two non-survivors being ATMALS-GSK at D10 and GSK at D30.",STATISTICAL_RESULT,TAB-T15; AN-GHOLM-2017 (global_holm_sensitivity_cec2017.csv).,Recomputed both tallies from wilcoxon_holm_cec2017_D*.csv (per-dimension) and the AN-GHOLM-2017 rows (global).,"EXACT: per-dimension 3+5+5+4 = 17 significant, 7 ns, 0 losses; global-Holm 2+4+5+4 = 15; the two lost cells are exactly atmals-gsk@D10 (0.0362 -> 0.0815) and gsk@D30 (0.0295 -> 0.1180). The 'not a single jointly FWER-controlled result' qualifier is present (M-028).",As printed - this is the correct multiplicity treatment under §10.7.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-066,results,performance.tex:405-427,"Unfavorable cells: eGSK significant only at D10 (0.0035), ns at D30/50/100 (0.199, 1.0, 0.795); GSK at D100 ns after Holm (0.0323 -> 0.0646) despite 20-0-9; at D10 only three comparators are beaten.",STATISTICAL_RESULT / LIMITATION,"TAB-T15; negative_findings.md items 1, 3, 5, 6.",Recomputed every quoted p from wilcoxon_holm_cec2017_D*.csv.,"Exact in all cells (3.491702e-03; 1.986745e-01; 1.0; 7.952663e-01; 3.229837e-02 / 6.459675e-02). Losses are stated alongside the wins, satisfying §10.7 loss-visibility parity.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-067,results,performance.tex:422-426,"At D in {30,50,100} DT-GSK beats AGSK/APGSK/FDB-AGSK in all nine cells (p_Holm <= 0.0102) and ATMALS-GSK at all four dimensions (p_Holm <= 0.0362).",STATISTICAL_RESULT,TAB-T15.,Verified the two maxima: 1.020495e-02 (AGSK D30) and 3.622030e-02 (ATMALS D10).,Both bounds are tight and correct.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-068,results,performance.tex:429-437,"DT-GSK BCa rank-stability intervals [2.29,3.43], [2.07,3.10], [1.86,2.69], [1.90,2.83]; they overlap eGSK's at D in {30,50,100}.",STATISTICAL_RESULT,"TAB-T16-BCA (papers/tables/T16_bca.tex, generated by generate_t16_bca.py from the frozen bundle).",Read T16_bca.tex and compared the eGSK rows.,"Exact; overlap holds at D30 ([1.78,3.09] vs [2.07,3.10]), D50 ([1.93,3.41] vs [1.86,2.69]) and D100 ([2.00,3.55] vs [1.90,2.83]) and correctly is NOT claimed at D10 ([3.53,4.86] vs [2.29,3.43]).",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-069,results,performance.tex:442-457,"CD = 1.67 (q=2.949, k=7, N=29); DT-GSK and eGSK are never Nemenyi-separable at any CEC2017 dimension (gaps 1.36, 0.21, 0.41, 0.34).",STATISTICAL_RESULT / LIMITATION,"nemenyi_cd_cec2017_D10.csv (CD=1.672993, q=2.949).",Recomputed the four gaps from the unrounded mean ranks.,"Exact: 1.3621, 0.2069, 0.4138, 0.3448; the parenthetical about the D100 gap reading 0.35 from two-decimal displays is also correct.",As printed - an unusually careful self-limitation.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-070,results,performance.tex:483-507,Two robustness checks diverge: median re-ranking shifts W/T/L (21-4-4 -> 17-10-2 vs eGSK at D10) and swaps APGSK/eGSK at D10 and FDB-AGSK/ATMALS-GSK at D50; excluding the disputed APGSK cells swaps GSK and FDB-AGSK at D30; under the median endpoint the D100 first place becomes an exact tie with eGSK (both 2.59); the unpaired companion gives 11 sig->ns and 21 ns->sig transitions with no sign reversals.,STATISTICAL_RESULT / LIMITATION,AN-ROB-2017-01/04/05.,Recomputed every one of these from robustness_cec2017_r01/r04/r05.,"ALL EXACT: r01 D10 eGSK wtl 21-4-4 -> 17-10-2; r01 D10 apgsk 4->5 and egsk 5->4; r01 D50 fdb 3->4 and atmals 4->3; r01 D100 egsk 2.5862 and dt-gsk 2.5862 (exact tie); r04 D30 gsk 5->4 and fdb 4->5; r05 Counter({'none':664,'ns_to_sig':21,'sig_to_ns':11}) with 0 win<->loss reversals.","As printed - the §10.7 robustness-divergence disclosure requirement is met, including the adverse D100 tie.",accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-071,results,performance.tex:527-561,"On CEC2011 DT-GSK places second of seven (3.36) behind eGSK (2.52); the across-problem Holm-corrected Wilcoxon against eGSK is a significant loss (p_raw=9.5e-3, p_Holm=4.2e-2); vs GSK the descriptive record favors DT-GSK (13-2-7, R+=159 vs R-=51) but does not survive Holm (0.046 -> 0.137).",STATISTICAL_RESULT,AN-OMNI-2011-NATIVE; AN-PW-2011-NATIVE; TAB-T06.,Recomputed from friedman_ranks_cec2011.csv and wilcoxon_holm_cec2011.csv.,"Ranks, p-values and W/T/L exact. NOTE: the released CSV's w_plus/w_minus for the GSK row are 51/159 - the mirror of the printed R+=159/R-=51. The printed orientation is self-consistent with the paper's own definition r=(R+-R-)/(R++R-) with r>0 favoring DT-GSK (0.514 = 108/210), but the release uses the textbook orientation on error differences.","As printed, provided the orientation convention is stated.",qualify,S3-T10,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P3,Confirmed,reproducibility,AN-PW-2011-NATIVE; AN-PW-2013-D10/D30/D50,"Reported signed-rank sums are the mirror image of the released workbook columns, with no note of the orientation flip.","performance.tex:551-556 prints R+=159, R-=51 (CEC2011 vs GSK) and performance.tex:637-639 prints 340/11, 286/65, 314/37 (CEC2013); wilcoxon_holm_cec2011.csv gsk row has w_plus=5.1e+01, w_minus=1.59e+02.",The paper orients R+ so that it favors DT-GSK (consistent with its r definition); the pipeline emits the raw textbook orientation on error differences.,A reproducer comparing the paper against the released CSV sees the two sums swapped and cannot tell whether it is a transcription error or a convention.,"Low, but it is the exact kind of mismatch that triggers a data-integrity query.",Add one clause where R+/R- first appear: 'R+ is the rank sum favoring DT-GSK; the released workbooks record the raw signed sums in the opposite orientation'.,Or report r only and drop the raw sums from the main text.,None.,None,The paper and the released workbook become directly comparable.,Check that the orientation note appears at first use of R+/R-.,open
C-072,results,performance.tex:557-561,CEC2011 corroborates within-family competitiveness (second of seven) and does not corroborate first place; no headline claim rests on CEC2011 alone.,INTERPRETATION,IN-03 NARROWED.,Read performance.tex:557-561 and the matrix IN-03 row.,The suite's adverse result is used to bound the headline rather than being buried. Matches the narrowed permitted wording.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-073,results,performance.tex:586-651 + Table 15 caption,"On CEC2013 DT-GSK attains the best overall Friedman mean rank (2.80; eGSK 3.41), with a per-dimension profile of first/third/first; at D30 it is third (3.38) behind eGSK (3.07) and ATMALS-GSK (3.34).",STATISTICAL_RESULT,AN-RANKAGG-2013-OVERALL; AN-OMNI-2013-D10/D30/D50.,Recomputed the full 7x4 CEC2013 rank table from the release.,"All 28 table cells exact (dt-gsk 2.4107/3.3750/2.6071/2.7976). The adverse D30 third place is disclosed in the text, the conclusions and the abstract's mid-dimension clause. The only defect in this subsection is the omnibus p basis (ticket S3-T03).",As printed for the ranks; see S3-T03 for the p-values.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,AN-RANKAGG-2013-OVERALL,,,,,,,,,,,,verified
C-074,results,performance.tex:628-633,"The D30 third place is this suite's counterpart of the CEC2017 mid-dimension weakness; the Holm-corrected tests against eGSK and ATMALS-GSK show no significant difference (p_Holm = 0.748 each), so the deficit is ordinal, not statistically separable.",STATISTICAL_RESULT / LIMITATION,AN-PW-2013-D30.,Cross-read with the CEC2013 D30 rank gaps (0.304 vs CD 1.702606).,Correctly framed in both directions - the adverse ordinal is stated and its inferential weight is bounded.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-075,results,performance.tex:647-651,"Because these results come from the same protocol and pairing as the primary suite, they are read as breadth of comparison, not as evidence of generalization beyond the suites tested.",GENERALIZATION (blocked),RS-11 permitted wording; AB-02 blocked_wording ('Calling CEC2013 a holdout/validation suite in the main text').,grep of the rendered PDF for 'hold-out'/'holdout' in the main text: no hits.,The registry's block is respected; CEC2013 is called a 'second comparison suite' throughout.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-076,convergence,performance.tex:657-700,"Prespecified stratified curve selection including a mandated unfavorable case (F26 at D30); every curve is the per-checkpoint mean error across all 51 runs, identical basis for all seven curves, no smoothing, no interpolation.",PROTOCOL / DESCRIPTIVE_RESULT,AN-CONV-2017-D30/D100 (curve_selection_*.csv); convergence_checkpoints_*.csv.,"Checked convergence_checkpoints_cec2017_D30.csv: 406 rows per algorithm for all seven, n_runs=51, availability ok.",Uniform aggregation basis confirmed for all seven algorithms (§10.8). No representative-run fallback is used.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-077,convergence,performance.tex:678-700,"F26 at D30: DT-GSK mean 1.16e3 higher than five of six comparators (only ATMALS-GSK 1.32e3 higher); best run 9.85e2 never reaches the 2.00-3.00e2 attractor every comparator's best run reaches; SD 7.5e1 smallest in the panel (next GSK 2.7e2). At D100 mean 4.09e3 below four comparators, above GSK 3.69e3 and eGSK 3.05e3.",DESCRIPTIVE_RESULT,"AN-DESC-2017-D30/D100 (descriptive_stats_cec2017_D{30,100}.csv, F26 rows).",Recomputed all eleven quoted values from the release.,EXACT in every value (1159.393 / 1322.564 / 984.556 / 75.306 / 269.262; 4094.364 / 5545.662 / 10255.62 / 10984.85 / 12213.20 / 3694.730 / 3051.406).,As printed - the adverse case is quantified rather than skipped.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-078,convergence,performance.tex:688-692,"The measured pattern is consistent mid-level convergence without basin escapes, at a dimension where the structure-memory subsystems are inactive; per-component attribution is not claimed.",MECHANISM_INTERPRETATION,LM-02.,Read performance.tex:688-693.,Interpretation is labelled as such and the causal claim is explicitly withheld - satisfies §10.13 ('mechanism explanations based only on final performance').,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-080,runtime,performance.tex:738-784 + Table 16,"DT-GSK per-run wall-clock 4.93 / 13.04 / 23.30 / 41.59 s at D=10/30/50/100 (1,479 runs per cell), 4.45-34.26 s on CEC2013 and 80.64 s on CEC2011; comparator timings came from a separate session so no cross-algorithm comparison is made.",DESCRIPTIVE_RESULT,AN-COST-2017 (cost_cec2017.csv).,Read the dt-gsk rows of cost_cec2017.csv.,"EXACT (4.928641, 13.04489, 23.30071, 41.59388; 4.454425-34.25722; 80.64177). The CSV's own comparability field reads NOT-COMPARABLE-ACROSS-ALGORITHMS, and the manuscript draws no cross-algorithm comparison - the correct disposition. NOTE: this supersedes the review prompt's §10.7 RT-001 'in-progress re-timing' expectation (see S3-T15).",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-081,runtime,performance.tex:752-754 and 767-769 (Table 16 caption),The isolated compute cost of the interaction-structure memory is quantified in the Supplementary Material (Section S6.7).,ADMINISTRATIVE / pointer,Supplement S6.7.,"supplementary.aux:275 resolves sec:supp:ablation:caveats to S6.7, titled 'Implementation Caveats: Two Corrected Defects and Their Evidence Trail'; the ISM overhead (+57.3% / +36.3% / +30.3%) is stated there and also in S6.5.","Pointer RESOLVES, but to a section whose title advertises defect provenance rather than cost; the same figures appear in S6.5, which is where the overhead is actually characterised.",'quantified in Supplementary Material Sections S6.5 and S6.7'.,qualify,S3-T14,Stage 3,"R6 (T1-OPT lead, claim inventory)",Editorial,P3,Confirmed,writing,S6.7 / S6.5,A cost pointer sends the reader to the implementation-caveats subsection rather than to the isolation subsection that reports the overhead.,"performance.tex:752-754 and :767-769 both cite S6.7; supplementary.tex:2043-2048 (S6.5) states '+57.3% at CEC2017 D50, +36.3% at D100, +30.3% on CEC2013 D50'; S6.7 repeats them in the backend-fix narrative.",The overhead figures were re-measured as part of the backend-fix write-up and the pointer followed the measurement rather than the result.,Minor navigation friction only; no §10.9 issue since a cost is not a favorable component result.,None on validity.,Cite S6.5 (primary) with S6.7 as the provenance note.,Leave as is; non-blocking.,None.,None,Reader reaches the overhead statement in one hop.,Check the cross-reference targets in the rendered PDF.,open
C-090,discussion,performance.tex:790-809,"The class distribution is consistent with the design intent of block-structured recombination on partially separable landscapes; stated as plausibility, not as a measured component contribution.",MECHANISM_INTERPRETATION,IN-02 permitted wording.,Read performance.tex:799-809.,'consistent with' framing with an explicit causality disclaimer; matches the matrix blocked_wording ('ISM causes/drives/explains the gain').,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-091,discussion,performance.tex:819-835,High-dimension behavior is associated with the bundled tier configuration rather than any isolated component; a direct isolation finds no significant standalone benefit from ISM at its active tiers.,MECHANISM_INTERPRETATION,IN-02 NARROWED; X-ABL-02.,"Read performance.tex:819-835; grepped the rendered PDF for any statement of the polish's isolated (favorable, Holm-significant) effect.",No favorable component result leaks into the main text: 'polish' co-occurs with 'significant' nowhere in DT-GSK.pdf. §10.9-as-narrowed is satisfied.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-092,discussion,performance.tex:857-875,"The evidence supports one calibrated statement: within the GSK-family panel and under the frozen protocol, DT-GSK holds the best descriptive across-dimension aggregate on two of three suites, while eGSK holds the better mid-dimension ordinal and a Holm-significant CEC2011 advantage. Consistent with no-free-lunch, none of this is offered as field-wide superiority.",COMPARATIVE_RESULT / GENERALIZATION (blocked),AN-RANKAGG-2017/2013-OVERALL; AN-OMNI-2011-NATIVE; LM-01; LM-03; BG-05.,Every constituent number re-verified above.,This is the manuscript's ceiling sentence and it is correctly calibrated: the favorable and unfavorable halves are in the same sentence and the panel bound is explicit.,As printed - adopt this as the paper's headline wording.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-100,conclusions,conclusions.tex:32-63,"Panel-scoped, dimension-resolved findings; 2.48 overall with eGSK at 2.96; 17/7/0 as a descriptive tally over four Holm families; losing head-to-heads vs eGSK at D>=30; never Nemenyi-separable; CEC2011 Holm-significant loss; CEC2013 first/third/first.",STATISTICAL_RESULT,"RS-01 NARROWED; CN-01; TAB-T15; negative_findings items 2-4, 10.","Every number re-verified against the release (see C-062, C-065, C-069, C-071, C-073).",No number in the conclusions exceeds §4; no new claim appears only in the conclusions (CN-01 blocked_wording respected).,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-101,conclusions,conclusions.tex:65-82,"Eleven limitations bound these findings, stated in full with their numeric evidence in the Supplementary Material, Section S5.",LIMITATION,LM-01..LM-05; Supplement S5.4 'Limitations in Full'.,Enumerated the ordinals in supplementary.tex:1171-1264.,"S5.4 enumerates First..Eighth plus one unnumbered 'Beyond these' residual = nine items, and its own opening sentence reads 'Several limitations bound these findings'. Eleven is reachable only by unbundling the eighth item's 'three attribution gaps' and splitting the seventh - i.e. not by counting the section.","'The limitations are stated in full in Supplementary Material S5' (no count), or make S5.4 enumerate eleven.",narrow,S3-T07,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P2,Confirmed,claim-scope,LM-01..LM-05 / S5.4,A countable claim about the supplement does not match the supplement.,"conclusions.tex:66 'Eleven limitations bound these findings, stated in full ... Section S5' vs supplementary.tex:1180 'Several limitations bound these findings' and the ordinals First(1180)/Second(1187)/Third(1194)/Fourth(1202)/Fifth(1215)/Sixth(1219)/Seventh(1228)/Eighth(1238) plus 'Beyond these'(1256). Also supplementary.tex:1174-1176 claims the S5.4 wording is 'the wording of the conclusions ... moved rather than rewritten', although the conclusions paragraph is a condensed outline, not the same text.",The conclusions outline was rewritten (N-020) after S5.4 was frozen; the count and the 'moved rather than rewritten' assertion were not re-checked.,"A reviewer who counts finds nine. Small, but it is a check anyone can run in ten seconds, on the paragraph whose whole purpose is candour.",Negligible on validity; non-trivial on the credibility of the limitations paragraph specifically.,"Drop the number ('The limitations are stated in full in Supplementary Material S5'), or renumber S5.4 to eleven explicit items and delete the inaccurate 'moved rather than rewritten' clause.",Keep 'Eleven' and split S5.4's eighth item into its three attribution gaps and the seventh into its two parts.,None.,None,The count in the main text matches the enumerated supplement.,Count the ordinals in the rendered supplement and compare with the number printed in the conclusions.,open
