# Stage 13 - Figures, tables, equations, algorithms and visual-evidence audit (Gate M)
# Seat s13_exhibits | package: git HEAD 45248eb31, freeze anchor abd2fa2f25c8, evidence release rel-2026-07-20-67d9345f9
# Section 1: exhibit inventory, Appendix A.4 schema. Section 2 (below the marker row): findings in the mandatory section 5.4 ticket schema.
# Homogeneous supplement figure families that share one generator and one defect are audited as one row each, with their members named in artifact_id.
artifact_id,type,document_location,research_question,source_paths,generator,command,source_checksums,output_checksum,caption_complete,value_or_point_validation,legibility,accessibility,cross_format_match,issue_ticket_ids,status,notes
TAB-14 (tab:wilcoxon-holm),table,main p.26; sections/performance.tex:375-389 -> papers/tables/T15.tex,"DT-GSK versus each comparator: Wilcoxon + Holm, W/T/L, effect size, decision",rel-2026-07-20-67d9345f9/cec2017/wilcoxon_holm_cec2017_D*.csv,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes for what the table SHOWS (r defined as matched-pairs rank-biserial, direction, family size, tie rule, decision symbols all defined)",FAIL against the prose - the surrounding text describes and quotes an 'A12 column' this table does not contain,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-03;S13-23,open,"The effect-size column is r (rank_biserial in the released CSV: APGSK at D=100 = 9.770115e-01 -> +0.977). Sec.4.1 and Sec.4.2.3 call it A12 and quote A12 = 0.490/0.505/0.472/0.712 - values that appear in NO exhibit and in no released function-level workbook. I recomputed them from descriptive_stats and they are numerically right, but they are unbacked by any shipped exhibit."
TAB-15 (tab:friedman-cec2013),table,main p.30; sections/performance.tex:593-601,CEC2013 Friedman mean ranks per dimension,rel-2026-07-20-67d9345f9/cec2013/friedman_ranks_cec2013_D*.csv,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - includes the explicit 'carries no independence claim' qualifier,PASS spot-check (D=30 third place 3.38 behind eGSK 3.07 and ATMALS-GSK 3.34 matches the supplement and the CSV),OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,
TAB-16 (tab:runtime),table,main p.33; sections/performance.tex:759-772 (values written inline in the .tex),DT-GSK measured per-run wall-clock on CEC2017,rel-2026-07-20-67d9345f9/cec2017/cost_cec2017.csv (dt-gsk rows),hand-transcribed inline table - NOT script-generated,n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - single-environment provenance, the separate comparator session, and the explicit no-cross-algorithm-comparison scope","PASS - INDEPENDENTLY VERIFIED against cost_cec2017.csv: 4.928641+-0.8306592, 13.04489+-2.690691, 23.30071+-5.233752, 41.59388+-13.94956 round exactly to the printed cells; the prose range 4.45-34.26 s (CEC2013) and 80.64 s (CEC2011) also match",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Values correct and the comparability caveat is properly scoped. Note it is the one main-text data table whose numbers live directly in the .tex rather than in a generated tables/T*.tex; Sec.10.11 'no data-backed number is hand-edited' would be better served by generating it.
S-TAB-A1..A4,table,supplement pp.3-6,"CEC2017 per-function mean +- SD, all seven algorithms, D=10/30/50/100",rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D*.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes (runs, success floor, no-imputation disclaimer)",PASS (validator table_pdf_spot 17/17 in the supplement),OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,
S-TAB-A5..A8,table,supplement pp.7-10,"CEC2017 five-statistic GSK versus DT-GSK head-to-head, D=10/30/50/100",rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D*.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes (bolding rule and scope caveat stated),PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,
S-TAB-A9 (tab:cec2011-stats),table,supplement p.11,"CEC2011 across-problem Wilcoxon summary, DT-GSK versus GSK",rel-2026-07-20-67d9345f9/cec2011/wilcoxon_holm_cec2011.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes (n, tie rule, alpha, and the panel-level loss context)",PASS on values; FAIL on formatting,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-11,open,"papers/tables/T06.tex:6-12 prints counts and rank sums with four decimals (159.0000, 51.0000, 13.0000, 2.0000, 7.0000) and uses ad-hoc non-math labels (R+, R-, 'p value', 'p holm', Wins+, Ties=, Losses-). T14.tex on the SAME rendered page prints the identical quantities as integers with proper math labels. The decision glyph '=' also diverges from the 'approx' used by Table 14 and Table A14."
S-TAB-A10..A13,table,supplement pp.12-15,CEC2011 per-problem and CEC2013 D=10/30/50 five-statistic detail,rel-2026-07-20-67d9345f9/cec2011 and /cec2013 descriptive stats,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-10,open,These four are typeset AFTER Table A14 in the rendered PDF (A14 on p.11; A10-A13 on pp.12-15).
S-TAB-A14 (tab:cec2013_wilcoxon),table,supplement p.11,CEC2013 across-function Wilcoxon summary per dimension,rel-2026-07-20-67d9345f9/cec2013/wilcoxon_holm_cec2013_D*.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes (n, tie rule, alpha, and the third-place disclosure)",PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-10;S13-23,open,Appears out of numerical order (before A10-A13) and uses machine E-notation (3.11E-05) where T15 uses <0.0001 and the prose uses 3.11 x 10^-5.
S-TAB-A15 (tab:bca-ci),table,supplement p.16,BCa descriptive rank-stability intervals on the CEC2017 Friedman ranks,rel-2026-07-20-67d9345f9/cec2017/bca_ci_cec2017_D*.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes (nboot, seed, resampling unit, and the descriptive-not-inferential caveat)","PASS - the main-text intervals [2.29,3.43], [2.07,3.10], [1.86,2.69], [1.90,2.83] agree",OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Exemplary caveat discipline: the caption states the intervals resample fixed midranks and must not be read as an overlap test.
S-TAB-A16..A19,table,supplement pp.43-48,"RNG substream key, legacy-identifier map, acronym list, per-subsystem frozen parameters",phase_03/parameter_table_detail.tex; _dt_rng.py,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS (authored transcription),OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,A17 'Current names and the legacy identifiers retained in released artifacts' is the sanctioned way to expose the ISM/DT-GSK rename without scattering internal tokens.
S-TAB-A20..A21,table,supplement pp.55-57,Scaffold remove-one ablation: mean-rank matrix and paired Wilcoxon,papers/analysis/ablation_overlay and the promoted ablation release,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - the conditional-contribution boundary is stated at length and no value is averaged across dimensions,PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Correctly confined to the supplement per Sec.10.9 and Sec.10.10; no ablation number appears in the main text.
S-TAB-A22..A23,table,supplement pp.58-59,Direct ISM-overlay isolation and the post-hoc conditional-benefit analysis,papers/analysis/ablation_overlay/ism_isolation_effects_*.csv,papers/scripts/generate_latex_tables.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - A23 is explicitly labelled post-hoc and not pre-registered,PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Retains the null and the adverse overhead figures (+57.3% / +36.3% / +30.3%) rather than suppressing them.
S-FIG-B1,figure,supplement p.17,Overall dimension-aggregated Friedman mean rank,rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_overall.csv,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS,OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-14,open,Fourth presentation of the same rank matrix.
S-FIG-B2,figure,supplement p.17,DT-GSK Friedman mean rank against problem dimension,rel-2026-07-20-67d9345f9/cec2017/rank_trend_cec2017.csv,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS (2.88/2.50/2.21/2.34),OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-14,open,Fifth presentation; the four values are already in Table 13 and are quoted twice in the main-text prose.
S-FIG-B3..B18,figure family (16),supplement pp.19-34,"Complete CEC2017 per-function family-overlay convergence grids, all four dimensions",benchmarks/cec_reference_results CheckpointErrors gen_logs,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - every caption states 'All panels carry 7/7 series' and the 1e-14 display floor,"PASS - 124 panels at 7/7 series per figures/convergence/cec2017_missing.log; no absence, no interpolation, no silent omission",FAIL - the same clipped shared legend as Figures 6 and 7,OK (colour + dash),"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-02,open,"Audited as one family: identical generator (_render_grid), identical figsize and legend configuration, identical defect."
S-FIG-B19..B21,figure family (3),supplement pp.35-37,CEC2011 family-overlay convergence over all 22 real-world problems,benchmarks/cec_reference_results CheckpointErrors gen_logs,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes (7/7 disclosure; linear-scale note for negative objectives),PASS - 22/22 panels at 7/7,FAIL - clipped legend plus in-panel crowding,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-02;S13-24,open,"The F3 (D=1) panel's eight y-tick labels of the form '1.15153 x 10^-5' fill the left margin and abut the axis label; the grey 'linear scale (negative objectives)' annotation on F2, F5 and F6 is overplotted by the data curves."
S-FIG-B22..B25,figure family (4),supplement pp.38-41,CEC2013 D=30 family-overlay convergence over all 28 functions,benchmarks/cec_reference_results CheckpointErrors gen_logs,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - and the D=30-only scope is declared prespecified,PASS - 28/28 panels at 7/7,FAIL - clipped legend,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-02,open,"Sec.10.8 completeness satisfied: the absence of D=10 and D=50 grids is disclosed at supplementary.tex:887 as 'the only prespecified CEC2013 convergence dimension', not silently omitted."
S-FIG-B26 (fig:nlpsr-schedule),figure,supplement p.42,Analytic NLPSR trajectory,analytic; no empirical input,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - the caption states it carries no result values,PASS (analytic),OK,OK,"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,"Correctly declared authored/analytic in artifact_binding.csv (evidence_release_id = n/a), so it cannot be mistaken for measured behaviour."
S-FIG-B27 (fig:abl-rankdelta),figure,supplement p.56,Conditional rank degradation from removing each scaffold component,papers/analysis/ablation_overlay,papers/scripts/generate_full_convergence.py | generate_cec2011_convergence.py | generate_cec2013_convergence.py | generate_rank_charts.py | generate_ablation_exhibits.py,see papers/governance/artifact_binding.csv,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes (conditional boundary, Holm marks, palette note)",PASS against Table A20 (the starred +2.84 / +2.90 / +1.31 / +2.03 cells match),partial,OK (per-cell palette with a printed companion table),"yes - supplementary.docx has 26 native w:tbl and 640 native OMML equations, 0 rasterised tables; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-22,open,"The -Linkage bars at D=10 and D=50 are delta=+0.02 and render as no bar at all, visually indistinguishable from a missing series; the negative region of the y-axis carries no tick labels, so the D=100 -ACE (-0.12) and -Linkage (-0.22) magnitudes cannot be read off the figure."
REG-artifact_binding.csv,exhibit source-binding registry (live),papers/governance/artifact_binding.csv (59 rows),"Does every shipped exhibit carry a source path, generator, command, release id and checksum?",papers/governance/artifact_binding.csv,papers/scripts/generate_artifact_binding.py,python papers/scripts/generate_artifact_binding.py,n/a,n/a,n/a,"PARTIAL - three recorded output checksums independently re-verified and matched, but seven manuscript_label values no longer exist and the shipped Figure 4 file is unregistered",n/a,n/a,n/a,S13-12,open,"Verified matches: main_cec2017_D30.pdf, cec2017_mean_ranks.pdf, cec2011_ranks.pdf. Stale rows: fig:cd-d10/d30/d50/d100 (the manuscript uses one grid labelled fig:cd-cec2017); fig:rank-vs-dim and fig:friedman_bar_gsk both marked scope=main although they are supplement figures; fig:architecture, fig:sgsm-mechanism, fig:dim-gating and fig:taxonomy are now native tables with tab: labels. 'nemenyi_cd_cec2017_grid' occurs 0 times in the file."
REG-table_figure_source_map.csv,exhibit source-binding registry (legacy),papers/governance/table_figure_source_map.csv (46 rows),"Same question, second and conflicting registry",papers/governance/table_figure_source_map.csv,unknown / hand-maintained,n/a,n/a,n/a,n/a,FAIL - stale and in conflict with artifact_binding.csv,n/a,n/a,n/a,S13-13,open,"Names fig_ismgsk_flowchart.pdf (pre-rename); figures/taxonomy/metaheuristic_tree.pdf (the directory does not exist - the taxonomy is now a native table); nemenyi_cd_d50.pdf (not the shipped exhibit); friedman_gsk_family.pdf as a main-text figure; figures/traces/nlpsr_trajectory.pdf (actual path figures/concept/fig_nlpsr_schedule.pdf); and 'main:sections/literature_review.tex:42' (no such file - it is sections/related_work.tex). Every recorded line number has drifted. Separately, PAPER_REVIEW_PROMPT.md:3174 binds papers/governance/exhibit_plan.csv as a required governance artifact; that file is absent."
META-prompt-staleness,review-input defect (recorded per seat instruction),papers/PAPER_REVIEW_PROMPT.md Sec.1.5 (lines 118-602); Sec.10.1 binding table (line 3174); Sec.10.7 RT-001 note (line 3299),Is the governing prompt's embedded snapshot current with the repository?,papers/PAPER_REVIEW_PROMPT.md,n/a,n/a,n/a,n/a,n/a,FAIL - the Sec.1.5 snapshot is dated 2026-07-20 and predates the 2026-07-21/22 R-01..R-14 remediation,n/a,n/a,n/a,S13-26,open,"Three concrete staleness points found from the exhibits seat: (1) Sec.1.5 predates the remediation and the current freeze anchor; (2) Sec.10.1 binds papers/governance/exhibit_plan.csv, which does not exist (the live equivalent is artifact_binding.csv); (3) Sec.10.7's RT-001 note describes the runtime table as awaiting a comparator re-timing, whereas the shipped Table 16 has already been narrowed to a DT-GSK-only single-environment table with an explicit no-cross-algorithm-comparison scope. This review was conducted against the repository as it stands, per Sec.1.4 precedence."

# ==== SECTION 2 - FINDINGS / TICKETS (PAPER_REVIEW_PROMPT.md section 5.4 mandatory schema) ====
ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,manuscript_location,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status
S13-01,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Major,P1,Confirmed,exhibit,"main PDF p.28, Figure 4 (fig:cd-cec2017); sections/performance.tex:459-474; papers/scripts/generate_nemenyi_cd.py:270-286",FIG-4 / papers/figures/nemenyi/nemenyi_cd_cec2017_grid.pdf,The Nemenyi critical-difference grid is illegible at final journal size: every character in it renders between 4.2 and 5.2 pt.,"PyMuPDF span measurement on DT-GSK.pdf page 28 returns in-figure font sizes of 4.18 pt (112 chars), 4.71 pt (196 chars) and 5.23 pt (422 chars); body text on the same page is 8.88-8.97 pt. generate_nemenyi_cd.py:274 renders the grid at figsize=(11.4, 8.8) in and performance.tex:461 embeds it at width=\textwidth (6.165 in), a 0.541 placement scale that maps 8/9/10 pt source text onto 4.3/4.9/5.4 pt on the page.","render_cd_grid never received the N-011 exact-size treatment that generate_full_convergence.py applied to the convergence grids: it still saves with bbox_inches='tight' on a canvas far wider than the text block, so LaTeX shrinks it at placement, after the fonts are set.",Stage 13 requires final-size legibility with correct label and line thickness. The project's own N-011 note (generate_full_convergence.py:178) sets ~8 pt as the readability bar; this exhibit sits at roughly half that. It is the only exhibit that shows the reader which algorithms are and are not statistically separable.,"Gate M - unreadable central exhibit. A reviewer cannot read the algorithm labels or rank values, and MDPI production would very likely return the figure.","Re-render the grid sized to its placement box exactly as generate_full_convergence.py does: set figsize to the text-block width (6.165 in) with a proportionate height, save through save_figure(..., exact_size=True) so bbox_inches is None, and embed at width=\textwidth so the placement scale is 1.0. Re-measure the rendered spans and confirm no in-figure text falls below 8 pt.","Split the 2x2 grid into two stacked 1x2 figures, or keep one full-width panel in the main text and move the other three to the supplement.",None - the underlying rank and CD values are already verified correct.,Fix in the same regeneration as S13-07 (shared x-limits); S13-14 frees the page space this needs.,All in-figure text at or above 8 pt at final size; the CD annotation becomes readable.,Re-run the PyMuPDF span-size measurement on the rebuilt figure page and assert min(font size) >= 8.0 pt.,open
S13-02,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Major,P1,Confirmed,exhibit,main PDF pp.31-32 (Figures 6 and 7); supplementary PDF pp.19-41 (Figures B3-B25); DT-GSK.docx word/media/rId78.png and rId82.png; papers/scripts/generate_full_convergence.py:150-153; papers/scripts/_convergence_common.py:204-225,"FIG-6, FIG-7, S-FIG-B3..B25 (25 figures in total)","The single shared legend of every family-overlay convergence grid is cropped at both ends, and the DT-GSK entry - the proposed method - loses its label entirely.","Rendered DT-GSK.pdf pp.31 and 32 show the legend row starting with a truncated 'GSK' whose line sample is cut at the canvas edge and ending with a black line sample plus one clipped glyph where 'DT-GSK' should be. The same crop is present in the standalone figure PDFs (main_cec2017_D30.pdf, main_cec2017_D100.pdf), in the supplement grids (all_funcs_D10_a.pdf, cec2011_a.pdf, cec2013_a.pdf) and in the DOCX raster word/media/rId78.png. generate_full_convergence.py:150 calls fig.legend(handles, labels, loc='lower center', ncol=7, fontsize=9, columnspacing=1.1, handlelength=2.6) on a 6.165 in canvas and line 153 saves with save_figure(..., exact_size=True), which sets bbox_inches=None (_convergence_common.py:222).",Regression introduced by the N-011 fix: removing the tight bbox to stop LaTeX down-scaling also removed the only mechanism that had been expanding the canvas to accommodate a seven-column legend wider than the figure.,"Stage 13 figure audit requires 'no cropped legends, labels, or data'. Both captions explicitly promise 'one shared legend', so the caption now describes something the figure does not deliver, and the reader cannot bind the bold black curve to DT-GSK from the figure alone.","Gate M. It affects two main-text figures and 23 supplement figures - the entire convergence evidence layer of the submission, in both PDF and Word.","Lay the legend out so it fits inside the 6.165 in canvas while keeping exact_size=True: use ncol=4 over two rows (or ncol=7 with reduced handlelength and columnspacing), reserve the measured legend height through fig.tight_layout(rect=(0, h, 1, 1)), and assert the legend bounding box lies inside the figure bbox before saving. Regenerate all 25 grids and rebuild both PDFs and both DOCX files.","Place the legend inside the first panel of each grid, or emit a single one-line key figure reused by every grid.",None.,Figure regeneration plus a document rebuild only. No optimizer rerun and no new evidence release - the underlying checkpoint data are untouched.,All seven series identifiable in every convergence figure in both formats.,"Extract text from each regenerated figure PDF and assert the label set {GSK, AGSK, APGSK, FDB-AGSK, ATMALS-GSK, eGSK, DT-GSK} is complete; confirm the DOCX media PNGs are regenerated from the corrected figures.",open
S13-03,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Major,P1,Confirmed,exhibit,"main PDF p.24 (Statistical protocol paragraph), p.26 (Sec.4.2.3 opening), p.27 (eGSK and APGSK effect sentences); sections/performance.tex:361-372 and 405-426; papers/tables/T15.tex",TAB-14 (tab:wilcoxon-holm),"The main text describes and quotes an 'A12 column' of Table 14 that the table does not contain, and the statistical-protocol paragraph contradicts itself about which effect size is tabulated.","T15.tex:5 and :22 give the effect-size column header as $r$, and the caption (performance.tex:381-383) defines it as 'the matched-pairs rank-biserial effect size r (> 0 favors DT-GSK)'. But performance.tex:361-364 says the table reports 'A_{12} effect sizes'; :365-367 says 'The A_{12} column is computed over the 29 per-function means'; :409 quotes 'A_{12} of 0.490, 0.505, and 0.472'; :426 quotes 'the largest effect is against APGSK at D = 100 (A_{12} = 0.712)'. On PDF p.24 a single paragraph asserts both 'the tabulated effect size is the matched-pairs rank-biserial correlation r' AND 'The tabulated A12 is computed over the 29 per-function mean errors'. grep over papers/tables/*.tex returns zero A12 columns. The released function-level workbook has only rank_biserial (wilcoxon_holm_cec2017_D100.csv header) and statistical_results.csv AN-PW-2017-D100 dt-gsk-vs-apgsk carries effect_size=9.770115e-01 with interpretation 'effect=matched-pairs rank-biserial' - i.e. +0.977, the value Table 14 prints. I recomputed the four quoted A12 values from rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D*.csv and obtained 0.4905, 0.5054, 0.4721 and 0.7122, so the numbers themselves are right but the exhibit said to carry them does not exist.","Incomplete propagation of M-027, the migration of the tabulated effect size from Vargha-Delaney A12 to matched-pairs rank-biserial r: T15.tex and its caption were regenerated, the surrounding prose was not.","Stage 13 requires each exhibit to agree with the prose, and every reported statistic to be traceable to a displayed or released value. A reader checking 'A12 = 0.712' against Table 14 finds +0.977 in the only effect-size column and cannot reconcile the two.","Gate M plus a traceability failure: four effect-size values are asserted in the main text with no exhibit and no released column behind them, and the protocol paragraph is internally self-contradictory. A statistics-literate reviewer will read this as a table/text desynchronisation and question the whole effect-size layer.","Make each sentence name the quantity the table shows. Option (a), no new evidence needed: rewrite performance.tex:361-372 and :405-426 in terms of the matched-pairs rank-biserial r, quoting the values Table 14 prints (eGSK r = -0.286, -0.002, -0.057 at D=30/50/100; APGSK r = +0.977 at D=100), and delete the A12 sentences on p.24 that contradict the r sentences. Option (b): reinstate an A12 column beside r in T15 and emit function-level A12 into the released workbook so the quoted numbers become traceable.","Keep the A12 discussion but move it to the supplement, next to a table that actually prints function-level A12 (Table A22 already prints run-level mean A12).","Option (b) would require emitting a function-level A12 column into wilcoxon_holm_cec2017_D*.csv, i.e. regenerating the analysis bundle. Option (a) avoids this entirely and is preferred under the no-new-release constraint.",Overlaps the statistics seat's effect-size audit; the exhibit-side requirement is only that Table 14 and the prose name the same quantity.,"Every effect-size value quoted in the main text is readable off Table 14, and the protocol paragraph names exactly one tabulated effect size.",grep the rebuilt PDF and DOCX for 'A12' and 'A_{12}' and confirm each surviving occurrence refers to a quantity actually displayed in a numbered exhibit.,open
S13-04,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Major,P1,Confirmed,exhibit,"main PDF p.10, Algorithm 1 steps 12 and 14; papers/build_prompt_phases/phase_03/algorithm_pseudocode.tex",ALG-1 (alg:dt-gsk),"Wrapped pseudocode lines are typeset to the LEFT of the step-body column, inside the step-number gutter.","Span-origin measurement on DT-GSK.pdf p.10: the step-number column occupies x=78.5-88.5 pt and the step body begins at x=108.4 pt, but the two continuation lines of step 12 begin at x=93.8 pt and x=93.6 pt, and the continuation of the step-14 right-margin comment ('non-selectable') begins at x=93.5 pt. The step-14 comment itself starts mid-line at x=415.5 pt instead of the right-aligned x=478-484 pt used by every other comment, then wraps into the gutter.","The algorithm environment applies a negative hanging indent to wrapped lines and provides no separate column for right-aligned comments, so long steps and long comments both spill into the numbering gutter.","Sec.10.17.2 requires 'hanging continuation lines that never collide with the margin', and Gate M fails for 'a central pseudocode block that overflows, collides, or double-prints ... even when its content is correct'.",Gate M. The content is correct and matches the frozen code - this is purely presentation - but the control names collision explicitly as a failure.,"Set the continuation indent to at least the step-body indent so the hang is positive, and either split step 12 into two numbered steps or shorten the step-14 comment; alternatively give comments a fixed right-hand column that wraps within itself. Re-render and confirm every wrapped line starts at or right of the step-body column.","Split step 12 into 12a ('a tier-dependent fraction of rows take a linkage block, learned at D>=50 and only when the confidence gate passes') and 12b ('the remaining rows take the KR mask'), and move the step-14 budget note into the caption.",None.,"Presentation only. Per Sec.10.17.6 no step, condition or constant may change; the optimizer core is byte-locked.","A clean, gutter-respecting listing at the presentation standard of the GSK exemplar.",Re-run the span-origin measurement on the rebuilt PDF and assert min(continuation-line x0) >= 108.4 pt.,open
