# DT-GSK exhibit plan - Phase 4 task 8 (claim-freeze input to Gate 4). Date: 2026-07-10.
# Sources of record: phase_04/thesis.md, phase_04/contribution_matrix.md (C1-C4), phase_03/equation_registry.csv,
# phase_03/algorithm_pseudocode.md, PAPER_BUILD_PROMPT.md Sections 6.7/8.4/8.5/8.6 (CR-0001), papers/governance/comparability_audit.md.
# Reconciles the provisional placeholder registry of contribution_matrix.md (T01-T07, F01-F03, SA01-SA03 -> X-ABL-01..03).
# NUMERIC DISCIPLINE: every empirical cell in every exhibit is a placeholder <TXX:field>/<FXX:field> until Phase 6 binds it
# from the read-only evidence release rel-2026-07-10-262fc16c9 (benchmarks/cec_reference_results/). Staging results/ is never citable.
#
# == PRE-REGISTRATION (binding for Phases 5-7) ==
# P1 PANEL COMPOSITION (7 algorithms, fixed legend order per Section 6.7): gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk.
#    All comparative wording is scoped "within the GSK family panel"; never field-wide. eGSK panel data provenance per comparability_audit.md.
# P2 CONVERGENCE AGGREGATION (CR-0001, Section 6.7): per-checkpoint MEAN error across all runs per algorithm, computed from
#    gen_logs/CheckpointErrors_<opt>_F<f>_D<d>.csv in release rel-2026-07-10-262fc16c9; identical basis for all 7 curves in every panel;
#    representative-run fallback (curves/Figure_F<f>_D<d>_Run#<r>.csv) ONLY when an algorithm's checkpoint logs are absent from the
#    release, caption-disclosed; a missing algorithm is caption- and register-disclosed, never fabricated/interpolated/silently dropped;
#    display-only log floor and zero handling documented at render time; no smoothing, no extrapolation past termination.
# P3 FIXED ALGORITHM -> COLOR/LINESTYLE MAP (identical in every panel, main + supplement; Okabe-Ito colorblind-safe; grayscale-distinguishable):
#    gsk        = #999999, dotted
#    agsk       = #E69F00, dashed
#    apgsk      = #56B4E9, dash-dot
#    fdb-agsk   = #009E73, densely-dashed
#    atmals-gsk = #CC79A7, long-dash
#    egsk       = #0072B2, dash-dot-dot
#    dt-gsk    = #000000, solid (1.5x linewidth)
#    One shared legend per grid; consistent algorithm ordering (P1) in all legends and tables.
# P4 DIMENSION SET PER SUITE: CEC2017 D={10,30,50,100} (29 functions, F1+F3-F30, F2 excluded per protocol; 51 runs; MaxFES=10^4*D).
#    CEC2011 native problem dimensions (22 problems; 25 runs; MaxFES=150000). CEC2013 tables D={10,30,50} (28 functions; 51 runs);
#    CEC2013 convergence grids D=30 ONLY unless the Section 8.5 dimension-filename tooling task is completed and invocations recorded.
#    CEC2013 is the "second comparison suite" - never "independent"/"holdout"/"validation".
# P5 MAIN-TEXT CONVERGENCE SELECTION RULE (pre-registered BEFORE viewing any rendered figure; summary-statistic-derived; CR-0003/Section 6.7):
#    Featured dimensions: D30 (known-weak tier - permitted Section 5.1 rank statement: #2 behind eGSK, to be re-derived in Phase 6 from
#    rel-2026-07-10-262fc16c9) and D100 (tier where SGSM/polish subsystems are active). For each featured dimension select exactly 4
#    CEC2017 functions, one per suite category (unimodal F1/F3; simple multimodal F4-F10; hybrid F11-F20; composition F21-F30).
#    Strata computed in Phase 6 from release summary CSVs only, before any curve is rendered or viewed:
#      difficulty  = tercile of the panel-median final error over all 7 algorithms within the dimension (easy/moderate/hard);
#      DT-GSK standing = per-function mean-final-error rank within the panel (strong = rank 1-2, comparable = 3-5, weak = 6-7).
#    Fill priority across the 4 category picks per dimension: (hard,weak) > (hard,comparable) > (moderate,comparable) > (easy,strong) >
#    any remaining stratum; ties broken by lowest function number. Constraint: the 8 selected panels jointly include >=1 hard case and
#    >=1 DT-GSK-weak case (Section 6.7 unfavorable-case requirement). Known limitation (recorded): repository figures were seen during
#    the Phase 2 asset audit; the rule is nevertheless purely summary-statistic-driven.
# P6 ABLATION: X-ABL-* rows are RESERVED, destination supplement-phase12, DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY. No ablation exhibit,
#    subsection, or component-causality claim may enter the main manuscript (thesis.md Section 7).
# P7 GENERATORS: commands below to be verified against the Section 8.5 runbook + strict source guard; any generator reading results/
#    as empirical input must be changed/wrapped to read the immutable release. The three convergence generators
#    (generate_full_convergence.py, generate_cec2011_convergence.py, generate_cec2013_convergence.py) REQUIRE the CR-0001 seven-curve
#    family-overlay extension before Phase 7 rendering (reference implementation pattern: papers/scripts/generate_review_pack.py,
#    including log-missing-never-fabricate behavior); Phase 7 validation asserts exactly seven series per panel or a disclosed absence
#    note. generate_trace_figures.py / generate_adaptive_params_panel.py run ONLY against a validated promoted diagnostic (GenLog)
#    release, else marked unavailable in evidence_gap_register.md. Supplement assembled by papers/scripts/build_supplementary.py.
# P8 LABELS: the label column below seeds Section 9.1 cross-reference label tracking; per-panel convergence labels follow the pattern
#    fig:conv-f<f>-d<d> inside the grid labels given below.
exhibit_id,kind,title,research_question,source,generator,destination,claim_ids,label
"F02-SUP-CEC2011","figure","Complete family-overlay convergence grids, CEC2011 (all 22 problems, 7 curves each, native dims)","Full real-world-suite search-behavior evidence (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2011 CheckpointErrors logs (aggregation P2; styling P3)","papers/scripts/generate_cec2011_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C3","fig:sconv-cec2011 (panels fig:conv-p<p>-cec2011)"
"F02-SUP-CEC2013-D30","figure","Complete family-overlay convergence grids, CEC2013 D30 (all 28 functions, 7 curves each)","Full second-comparison-suite search-behavior evidence at D30 (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2013 D30 CheckpointErrors logs (D30 only per P4/Section 8.5 filename limitation)","papers/scripts/generate_cec2013_convergence.py --dimension 30 (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C1;C3","fig:sconv-cec2013-d30 (panels fig:conv-f<f>-cec2013-d30)"
"T04-STATS","table","CEC2011 inferential detail (per-problem Wilcoxon+Holm, effect sizes, W/T/L)","Inferential support behind the CEC2011 headline (<T04:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2011 per-run endpoints (25 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:cec2011-stats"
"T06-FULL-D10","table","CEC2013 D10 complete per-function statistics (28 functions x 7 algorithms)","Full second-suite descriptive evidence at D10 (<T06:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2013 D10 summary CSVs (51 runs; no F2 exclusion)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:cec2013-d10"
"T06-FULL-D30","table","CEC2013 D30 complete per-function statistics (28 functions x 7 algorithms)","Full second-suite descriptive evidence at D30 (<T06:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2013 D30 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:cec2013-d30"
"T06-FULL-D50","table","CEC2013 D50 complete per-function statistics (28 functions x 7 algorithms)","Full second-suite descriptive evidence at D50 (<T06:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2013 D50 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1","tab:cec2013-d50"
"T-SENS","table","Exploratory parameter-sensitivity evidence (labeled exploratory; grid/ranges/seeds/selection rule disclosed)","How sensitive is behavior to key frozen parameters? (exploratory only; never converted to component-causality; Section 6.8)","rel-2026-07-10-262fc16c9 admissible sensitivity evidence (if present; else evidence_gap_register.md entry)","papers/scripts/generate_parametric_tables.py (verify vs Section 8.5 runbook)","supplement","C3","tab:sensitivity"
"S-REPRO","appendix","Detailed reproducibility appendix (seed schedule, substreams, freeze manifest, release checksums, promotion pipeline)","Can every number be re-derived byte-stably from the release? (Section 8.6)","papers/governance/data_ledger.csv + reproducibility_manifest.json + phase_03/algorithm_freeze_manifest.json + evidence_release_manifest.json","authored LaTeX from governance artifacts (no script)","supplement","C4","sec:repro"
"F-TRACE","figure","SGSM/trace diagnostics (D>=50 witness traces)","Do internal traces corroborate the described SGSM/polish behavior? (GATED: only from a validated promoted GenLog diagnostic release, Section 8.5; else marked unavailable in evidence_gap_register.md)","promoted diagnostic release (gen_logs/GenLog_* pattern) - NOT results/ staging","papers/scripts/generate_trace_figures.py (diagnostic-release-gated, P7)","supplement","C1;C2 (diagnostic; no causality claim)","fig:trace-sgsm"
"F-ADAPT","figure","Adaptive-parameter trajectories panel (ACE arm probabilities, NP schedule)","Do control trajectories match the described scaffold dynamics? (GATED: same diagnostic-release condition as F-TRACE)","promoted diagnostic release (gen_logs/GenLog_* pattern) - NOT results/ staging","papers/scripts/generate_adaptive_params_panel.py (diagnostic-release-gated, P7)","supplement","C3 (diagnostic; no causality claim)","fig:adaptive-params"
"F-NLPSR","figure","NLPSR analytic schedule trajectory (NP(x) shape per tier)","What does the tier-floored population schedule look like analytically? (analytic plot of E5; no empirical result values)","phase_03/equation_registry.csv E5 + phase_03/parameter_table.md tier floors (analytic; NO empirical source)","papers/scripts/generate_nlpsr_trajectory.py (analytic input only)","supplement","C3","fig:nlpsr-schedule"
"X-ABL-01","table","RESERVED (Phase-12): scaffold ablation matrix (ACE/ARGP/NLPSR/BSE/archive/linkage/polish toggles) [= SA01]","Which scaffold components contribute? DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY - no main-text reference","Phase-12 ablation release (does not exist yet; byte-stable toggles per C4)","papers/scripts/generate_ablation_matrix.py (Phase-12 only)","supplement-phase12","DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY","tab:abl-scaffold"
"X-ABL-02","table","RESERVED (Phase-12): SGSM-overlay cells full / no-adaptive / no-sgsm [= SA02]","Does the interaction-structure memory contribute at D>=50? DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY - no main-text reference","Phase-12 ablation release (does not exist yet)","papers/scripts/generate_ablation_matrix.py (Phase-12 only)","supplement-phase12","DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY","tab:abl-sgsm-overlay"
"X-ABL-03","table","RESERVED (Phase-12): full-vs-cell Wilcoxon/Holm inferential comparison [= SA03]","Are component effects statistically supported? DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY - no main-text reference","Phase-12 ablation release (does not exist yet)","papers/scripts/generate_ablation_matrix.py (Phase-12 only)","supplement-phase12","DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY","tab:abl-wilcoxon"
