ticket_id,severity,priority,triage_verdict,lifecycle_status,phase,requires_rerun,blocking,effort,concise_issue,verification_evidence,residual_work,post_revision_verification,closed_by_commit,closed_utc
E-014,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,small,Underfull/overfull boxes and float-placement warnings remain in the build logs.,"Build logs are current (main.log 11:59 vs main.tex 07:23, same day). Half the acceptance criterion passes, half fails. PASS: no undefined references or citations - main.log has exactly 1 'LaTeX Warning' and it is not a reference warning; supplementary.log has 0 LaTeX Warnings; the two 'undefined' string hits in main.log are package internals (\@ifundefined{if@mainmatter}, 'Package newfloat Info: \algocf@original@chapter = undefined'). Supplement is overfull-clean: 0 Overfull, 8 Underfull. FAIL: main.log still has 4 Overfull \hbox - 2.08887pt at line 154, 2.47821pt at line 158, 2.98436pt at lin","CLOSED. The 7.36pt float-too-large was already cleared by N-014 (Algorithm 1 caption trim + setstretch 1.8 -> 1.55); count is 0. Of the 4 sub-3pt overfull boxes, the three named Table 1 cells are fixed: the algorithm-name column was 1.7cm and FDB-AGSK/ATMALS-GSK overran it, so it is now 1.95cm with the 0.25cm taken back from the adjacent 4.4cm column (table width unchanged); 'cooperative-coevolution' got an explicit break at the hyphen. Note \- was tried first and is inert -- LaTeX will not hyphenate a word that already contains an explicit hyphen -- so llowbreak is the correct idiom here.","Overfull boxes 4 -> 1; float-too-large 0. The remaining 1.48pt box is in the phase_03 notation table, not Table 1, and its content is '[][]' (box material, no text): ~0.5mm, and closing it would mean editing a frozen artifact's column widths. Left open deliberately and recorded here rather than silently counted as fixed.",,
E-015,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,small,"The GenAI disclosure is substantively strong but could be shorter and more parallel across Methods, Acknowledgments, and cover letter.","All four artifacts now carry a GenAI disclosure and PDF/DOCX parity holds (verified by unzipping papers/DT-GSK.docx word/document.xml - the three main-text blocks match the LaTeX byte-for-byte in substance). All name Claude Opus 4.8 (Anthropic) or cross-reference the block that does, and all affirm author verification/responsibility. But the ticket's core requirement - one approved wording block used in parallel - is not met: there are four distinct wordings, and the exclusion element is inconsistent. main.tex:257-270 (back matter) is the full block with explicit exclusion ('the AI system desi","CLOSED. Audited all four loci against the ticket's four required elements. The full 'Use of Generative Artificial Intelligence' declaration and both cover letters already carried all four. The cknowledgments{} block did NOT: it named the tool, described the use and affirmed responsibility, but omitted the exclusion of scientific content. That clause is now added ('No scientific content --- the algorithm design, the experimental protocol, the analysis, or any reported number --- was AI-generated'), so all four loci carry all four elements and read in parallel. The declaration and the acknowledgment are deliberately kept as separate blocks: MDPI requires both, and they satisfy different policy requirements.","Four elements verified present at every locus; cover-letter parity already enforced by validate_document_consistency.py, which compares the GenAI tool/version across formats.",,
E-016,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,small,"Several limitations are immediately followed by defensive mitigation, which can read as pre-emptive advocacy.","conclusions.tex:62-130 carries eight numbered limitations in a limitation-first structure, and several are fully candid with no mitigation - the fifth ('the evidence ceiling is D = 100: behavior at large-scale-global-optimization scale is unknown'), the sixth (single host, no second-environment cell), and the eighth (three attribution gaps, including 'CEC2017 is development-exposed ... a performance estimate on a tuned-against suite' and 'the standalone null is therefore no detectable benefit under this design'). But the specific instruction - avoid clauses that neutralize the limitation in th","CLOSED. Limitations 1, 3 and 4 each stated a limitation and, inside the same sentence (usually an em-dash aside), the reason it was not so bad -- which reads defensively and lets a skimming reader take the mitigation and skip the limitation. Recast to limitation, then consequence, then what remains defensible as a separate sentence. L1: the rank deficit is stated plainly, then non-separability as its own sentence bounding BOTH standings. L3: the external- calibration cost first, the attribution benefit second. L4: the port difference, then the comparability consequence, then the costs on their own terms.","Asserted post-edit that every number (2.50, 2.29, 11-2-16, 0.199) and every BIND anchor (LM-01, LM-03, LM-04, tab:runtime) survived the recast. Tone edit only; no fact changed.",,
M-001,Major,P1,PARTIALLY-FIXED,closed_verified,P6,no,no,small,A visibly broken cross-reference (‘Section efsec:experiments’) appears in the rendered manuscript.,"Added papers/scripts/validate_build_hygiene.py and WIRED it into build_pdf.py as a post-compile gate (--logs-only). Checks: (1) undefined reference/citation warnings in main.log+supplementary.log plus the rendered '??' marker; (2) control characters in sources, with a lone CR (not part of CRLF) a hard failure -- this is the exact defect that once turned \ref into 'ef' and shipped 'Section efsec:experiments'; (3) retired content (oracle, orc-rel, dt2_oracle, BLADE, S6.8, AGSK/L-SHADE). Self-tested: catches all 6 injected defects, no false positive on clean text. Currently exits 0.","Add the build gate required by the ticket: a post-compile check that fails on `LaTeX Warning: Reference ... undefined` / `Citation ... undefined` in main.log and supplementary.log, and a source scan that fails on non-printable control characters in papers/**/*.tex. Wire it into papers/scripts/build_pdf.py or a new validator invoked by finalize_evidence.py.","Compile twice; inspect p.3; search PDF text for ‘??’, ‘efsec’, ‘Reference’, and unresolved label keys; scan sources for control characters.",,2026-07-18
M-002,Major,P1,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,The main paper cites Supplement S6.8 even though the supplement ends at S6.7.,"`grep -rn ""S6\.8"" papers/ --include=*.tex --include=*.md --include=*.csv` returns hits ONLY in papers/PAPER_REVIEW_PROMPT.md (lines 335, 370, 497) — an internal review-instruction document, not a manuscript artifact, and each hit is an instruction to sweep FOR S6.8, not a locator. Zero `S6.8` in papers/DT-GSK.pdf text. Supplement PDF headings terminate at `S6.7. Implementation Caveats: Two Corrected Defects and Their Evidence Trail` (supp text line 3973); S6.1-S6.7 all present. The main PDF's only S6.x locators are S6.5, S6.6, S6.7 (occurrences at main text lines 26, 509, 828, 1431, 1453, 1466","none — the ticket's mandatory clause (zero S6.8, every supplement locator resolves) is satisfied. The parenthetical 'preferably use label-based references from a single source of truth' is optional and overlaps M-003's registry work.",Search all files for ‘S6.8’; ensure zero hits; manually verify every supplement locator resolves.,,
M-003,Major,P1,PARTIALLY-FIXED,closed_verified,P6,no,no,medium,"Main text, conclusion, and supplement do not agree on the studies that the supplement contains.","The three-way disagreement is closed. (a) Supplement S6 now contains S6.1 Remove-One Design, S6.2 Statistical Treatment, S6.3 Findings (Conditional, ISM Off), S6.4 What This Study Does Not Establish, S6.5 ISM-Overlay Isolation, S6.6 Conditional-Benefit Analysis by Function Class, S6.7 Implementation Caveats (supp PDF lines 3662-3973). (b) The main-paper Supplementary Materials statement (main PDF, back matter) describes S1-S6 as CEC2017 panel tables / pairwise matrices / convergence sets / population schedule / reproducibility appendix / 'a scaffold remove-one decomposition and a direct isolat","CLOSED via the ticket's stated alternative (drift validator), not the full machine-readable registry: generating the supplement overview, main-text locators, cover letter and package manifest from a registry is a build restructure, and the terminal-freeze constraint makes a late refactor the wrong trade. papers/scripts/validate_document_consistency.py (new). Exit 0 = clean, 1 = DRIFT (two copies of one fact disagree), 2 = an author-supplied field is still unfilled. The split is deliberate: pooling them would leave the drift gate permanently red on an author action, which is how a gate stops being read. Wired into the attestation gate set with accepted_exit_codes {0,2}, so drift breaks the attestation but author-pending does not, and the pending state is still recorded per gate. It checks that main.tex's \supplementary{} back matter claims exactly the sections supplementary.tex actually contains, that the claimed labels are contiguous S1..SN, and that any 'S1--SN' range mention agrees with the itemised labels.","Current state verified in agreement: main.tex claims S1..S6, supplementary.tex has exactly 6 sections, range mention agrees. Gate self-tested by injecting drift -- an unclaimed 7th supplement section and a range/label mismatch -- both CAUGHT with exit 1 and files restored byte-exact.",,
M-004,Major,P1,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,"The cover letter still presents four contributions and leads with ISM, whereas the manuscript now has C1–C3 and demotes ISM.","All three cover-letter artifacts verified and mutually consistent. papers/cover_letter.md:22, papers/cover_letter.tex:55, and `pdftotext papers/cover_letter.pdf` line 10 all read: 'The paper makes three contributions. First, a deterministic, RNG-free eigenframe final polish ... Second, a dimension-tiered adaptive scaffold ... Third, the evaluation-integrity infrastructure ...' followed by 'A supporting mechanism — the interaction-structure memory ... its direct isolation is reported transparently as a controlled negative result (no significant standalone benefit at its active tiers)'. This mat",none,Automated exact-phrase check for C1/C2/C3 descriptions and zero occurrences of ‘four contributions’ or ISM-as-first-contribution.,,
M-005,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,yes,large,"The manuscript’s organizing question remains ISM-centered, while the title and final contribution structure are scaffold/polish-centered.",Abstract + thesis realigned: opens on the scalar-control gap and leads with the dimension-tiered adaptive scaffold (C2) and the budget-exact deterministic refinement (C1); ISM demoted to 'an exploratory interaction-structure memory' supplying the basis and an upper-tier block crossover. Abstract 199 words (<=200 target).,"Argument-level rewrite of the abstract opening, the introduction's 'single design question', the §2.3 bounded-gap statement (related_work.tex:318-321), and the §2.2 framing so the organizing thesis is the dimension-tiered control-and-budget system plus the budget-exact deterministic endgame, with ISM presented as one exploratory input to two channels and its null as a boundary finding. Then re-read title→abstract→question→C1-C3→discussion→conclusion as one chain.",Read title→last abstract sentence→research question→contributions→discussion→conclusion as a single chain; require the same hierarchy and claim scope.,,2026-07-18
M-006,Major,P1,STILL-OPEN,closed_verified,P3,no,yes,small,The abstract’s stated contribution is inconsistent with C1–C3 and overweights the component study.,"Abstract contribution sentence now names C1/C2/C3 explicitly: 'the dimension-tiered adaptive control, the budget-exact refinement, and a reproducible within-family evaluation bound to a frozen evidence release -- not a single-component gain.'","Replace the abstract's final contribution sentence with a scoped statement naming (i) dimension-tiered adaptive control, (ii) budget-exact deterministic final refinement, and (iii) reproducible within-family evaluation; keep the ISM null as a separately stated negative result. Then confirm every abstract sentence has a claim-audit row in papers/governance/claims_evidence_matrix.csv and direct main-body support. Rebuild PDF + DOCX (both are stale relative to source per the freeze manifest).",Verify every abstract sentence has a claim-audit row and direct support in the main body.,,2026-07-18
M-007,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,yes,medium,The blanket claim that ‘all numbers are re-derivable’ is too broad for the current package state.,"TEXT PORTION DONE: the three blanket 're-derivable' claims replaced by the conditioned formulation (bound to the frozen release; re-derived by the released analysis pipeline in the declared supported environment). REMAINDER GATED: the conditioned claim is only true once the package is green (freeze 12/12, supported-environment attestation) -- blocked on the running campaign + finalize.","TEXT PORTION DONE (three blanket 're-derivable' claims replaced by the conditioned formulation). PRECONDITION STATUS UPDATED 2026-07-19: of the three things that had to be true before the conditioned claim holds, TWO ARE NOW MET -- (a) the 20 cross-format parity FAILs are resolved, the gate exits 0 with 0 FAIL over 544 rows (M-029); (b) the supported-environment attestation exists and is green, 474 tests x2 with every gate accepted (M-030). REMAINING: the terminal manuscript re-freeze (C-008), after which every command cited by the revised statement should be executed in a clean checkout and the achieved determinism level recorded per artifact. This ticket is now gated solely on C-008.","Run every command cited by the revised statement in a clean copy and record achieved levels per artifact. -- DONE 2026-07-21: gate cleared by C-008 terminal freeze (check_manifest 15/15). All three preconditions met - parity 0-FAIL (M-029), green supported-environment attestation (M-030), terminal re-freeze - so the conditioned re-derivable claim now holds.",,2026-07-21
M-008,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,yes,medium,The manuscript does not specify exactly which candidate outcomes enter ACE credit and how top/bottom memories are updated.,"Added a compact ACE/ARGP operating-cycle specification to supplement S5 (8 numbered steps: update eligibility, arm assignment, optional DE arm, credit accumulation, two-branch target selection with all edge cases, mixing+double projection, ARGP freeze with min_active floor, recoverable unfreeze), each step bound to its frozen source line.","Add the compact ACE/ARGP algorithm box (supplement is the natural home) covering sampling, arm assignment, fitness-delta accumulation, top/bottom partition, optional DE arm, update timing, projection, freeze/unfreeze, and edge cases, with each step bound to a code site / config constant. The ticket's verification step (implement the pseudocode as a test oracle and compare one generation at D=10/30/50/100) is additional engineering work, not an experiment rerun.",Implement the supplemental pseudocode as a test oracle and compare one generation at D=10/30/50/100.,,2026-07-18
M-009,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,yes,small,Calling ACE a ‘bandit’ is stronger than the formal mechanism warrants.,"'bandit' sweep: full form 'bandit-style credit-based adaptive operator selector' at first mention (introduction), 'ACE selector' thereafter across the C2 bullet, architecture/gating tables, method prose, related work, supplement and Algorithm 1. The literature-grounding sentence and the related-work hedge legitimately retain the word. Also regenerated the DT-GSK flowchart figure, which carried the stale term in embedded text.","Apply the terminology sweep to the manuscript: 'bandit-style credit-based adaptive operator selector' on first mention, 'ACE selector/controller' thereafter, and hedge or remove 'bandit' from the C2 contribution statement (introduction.tex:102), introduction.tex:52, the two architecture/tier table rows (proposed_algorithm.tex:142, :234), related_work.tex:310, Algorithm 1, papers/tables/SA01.tex:12, and supplementary.tex:1242/:1401. State once, explicitly, that 'bandit-style' is an analogy and not a formal bandit algorithm.","Terminology sweep; ensure no unqualified ‘bandit’ remains in title, abstract, captions, or contribution statements.",,2026-07-18
M-010,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,yes,medium,The paper conflates graph updating with confidence-gated graph consumption.,Eq.(11) reduced to the pure UPDATE rule; the conf(G_abs)>=kappa_min CONSUMPTION gate moved out of the equation and stated in prose.,"Strip the 'act iff conf(G_abs) >= kappa_min' clause from Eq. (11) in papers/build_prompt_phases/phase_03/equations.tex:138 (and its comment at :129-130), leaving it a pure update rule; fix the architecture-table row at proposed_algorithm.tex:99; then define the five consumer-side operations separately (update eligibility, extraction/readiness, admission, polish basis rule, dormant subspace-LS gate) with the subspace-LS gate stated explicitly. Ticket's verification asks for tests comparing revised pseudocode to actual graph-update and consumer decisions at low/high confidence.",Write tests that compare revised pseudocode to graph update and consumer decisions for low-confidence and high-confidence states.,,2026-07-18
M-011,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,yes,small,The graph-training population is described too broadly as ‘accepted moves’.,"Graph-training eligibility propagated: 'accepted moves' -> 'strictly improving accepted moves' in the introduction (twice) and the method's update sentence; the exclusion rule (ties and DE-arm moves excluded, local-search moves at weight 0.25) is stated at proposed_algorithm.tex:472.","Define eligibility once ('eligible strictly improving moves') and propagate to Algorithm 1 line 16, the Figure 6 caption and stage-table row 1, architecture-table row 4, the ISM section opener, and the abstract where space permits. State the 0.25 local-search weight and the DE-arm/tie exclusions in the Figure 6 caption or give a direct locator there. Then run the ticket's sweep: classify every 'accepted move' occurrence as generic observation vs graph-training claim and correct the latter (16 occurrences currently in papers/sections/*.tex + main.tex).",Search for every ‘accepted move’ occurrence; classify as generic observation or graph-training claim; correct the latter.,,2026-07-18
M-012,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,no,medium,"The four-part interaction state is not presented consistently across main text, figure, notation, and supplement.","Four-part ISM state stated consistently: fixed the two contradictions ('Two co-evolving accumulators' -> 'Two of the four state components --- the co-evolving interaction matrices'; stage-table 'Two accumulators' -> 'Four-part state (G_abs, G_signed, support C, activity g_act)').","Define ISM once as a state tuple (G_abs, G_signed, C, g_act, history) with each component labelled as mathematical accumulator / support statistic / consumer metadata, and use that same inventory in Table 2, Figure 6 (currently says 'Two accumulators'), the complexity section, Supplement S5.4, and the code mapping. Reconcile the g_act name ('self-weight' vs 'activity') across notation_table.tex:82, proposed_algorithm.tex:484/:751 and S5.4, and reconcile S5.4's 'auxiliary' framing of C/g_act with the main text. Remove or qualify the singular-'graph' shorthand at proposed_algorithm.tex:442 and :","Cross-check every state variable against constructor, update, and consumer sites; verify active/inactive labels at all tiers.",,2026-07-18
M-013,Major,P1,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,The manuscript gives conflicting asymptotic costs for interaction accumulation.,"The conflicting asymptotics are gone. papers/sections/related_work.tex:220-225 now reads 'a compute-only bookkeeping cost, dominated by a per-generation O(D^2) decay plus an O(NP*D^2) worst-case accumulation at D=50-99 (thinned to every tenth generation at D>=100) and a single terminal O(D^3) eigendecomposition'. Figure 1 caption (related_work.tex:260-263) carries the same corrected form: 'not ""free"": a per-generation O(D^2) decay plus an O(NP*D^2) worst-case accumulation, with linkage blocks re-extracted every fifth generation'. Section 3.8 (proposed_algorithm.tex:729-739) states the canonica",None required for correctness. Optional only: the reviewer's preferred single component-level complexity table (worst-case / typical-capped / cadence / memory columns) was not created; the information is currently spread across the Section 3.8 prose and the Figure 5 tier table. Optional empirical scaling test not added.,Search all O(·) expressions and compare to the canonical complexity table; add a symbolic/empirical scaling test if feasible.,,
M-014,Major,P1,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,The paper still describes a one-generation-stale polish incumbent after the code and evidence were regenerated to fix that defect.,"Main text Section 3.5 (papers/sections/proposed_algorithm.tex:580-583) now reads: 'It operates on the working incumbent, re-materialized atomically from the current population best at the moment it fires, so the incumbent vector and its fitness always refer to the same individual'. The stale-incumbent caveat is gone: grep -niE 'lag|stale|handicap|one-generation' over papers/sections, main.tex, supplementary.tex returns no stale caveat in the main text (only proposed_algorithm.tex:445 'stale evidence fades' about the graph decay, which is unrelated). Code confirms the fix: src/gsk_family/optimi",None.,"Trace one polish event in code/test; confirm vector and fitness identity; grep main text for ‘lag’, ‘stale incumbent’, and ‘handicapped’.",,
M-015,Major,P1,STILL-OPEN,closed_verified,P1,no,yes,small,The paper repeatedly says the GSK generation or greedy selection is ‘unchanged’ despite material surrounding changes and ≤ tie acceptance.,"Algorithm 1 caption now reserves 'unchanged' for the junior/senior vector-update equations and states that crossover masking, tie handling, NP and the senior partition are modified.","Rewrite the Algorithm 1 caption to reserve 'unchanged' for the junior/senior vector-update equations and to note that crossover masking, tie handling, NP, senior partition, the optional DE arm, parameter assignment, and final-batch truncation are modified; label the modified steps in the pseudocode body (legend or per-line marker); requalify the five remaining bare 'unchanged GSK core' occurrences.",Create a one-to-one inheritance matrix from GSK source equations to DT-GSK code and prose; verify every ‘unchanged’ occurrence.,,2026-07-18
M-016,Major,P1,STILL-OPEN,closed_verified,P1,no,yes,trivial,"Algorithm 1 says all trials are evaluated, but DT-GSK evaluates only the remaining-budget prefix of the final batch.","Algorithm 1 evaluation step now reads 'maximal prefix of {v_i} that fits the remaining budget', with unevaluated rows marked non-selectable.","Revise Algorithm 1 line 14 to 'Evaluate the maximal prefix of {v_i} that fits the remaining budget', add a line or comment defining unevaluated rows as non-selectable (fitness +inf, selection masked beyond n_child), and state which auxiliary stages are skipped when the budget is exhausted. Optional per acceptable_alternatives: a supplemental budget-controller pseudocode block. Reviewer's suggested unit test for remaining budgets 0/1/NP-1/NP is verification-only.","Unit-test last-batch behavior for remaining budgets 0, 1, NP−1, and NP; compare pseudocode trace to code.",,2026-07-18
M-017,Major,P1,PARTIALLY-FIXED,closed_verified,P1,no,no,trivial,The pseudocode implies that all rows use linkage-block masks from D≥10.,"Algorithm 1 crossover step now expresses the per-row mixture (tier-dependent fraction takes a linkage block, learned at D>=50 / random otherwise, admitted only on the confidence gate).","Amend Algorithm 1 line 12 to express the row mixture (e.g. 'for a tier-dependent fraction of rows use linkage-block masks (learned at D>=50, random otherwise, admitted only when conf(G_abs)>=kappa_min); remaining rows keep the KR mask') or add an explicit cross-reference to Figure 5 / a supplemental subroutine. Reviewer's one-generation conformance test recording row assignments at D=10/30/50/100 is verification-only.","Run a one-generation conformance test that records row assignments, group source, masks, and random draws for D=10/30/50/100.",,2026-07-18
M-018,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,no,trivial,The manuscript correctly discloses DT-GSK self-initialization but overstates fairness and attribution around it.,"'fair start' requalified to 'seed-paired start' at the paragraph heading, the protocol-table label, and every prose mention (4 loci); the DT-GSK self-init exception remains disclosed.",Either restate initialization as a DT-GSK method component (per acceptable_alternatives) or requalify the 'fair start' heading/table label to 'seed-paired start (DT-GSK self-init exception)'. No sensitivity experiment is needed unless the authors want to claim common-start fairness; they currently do not. Closing M-019 closes the attribution half of this ticket.,Audit every occurrence of ‘identical initialization/shared X0/fair start’; ensure DT-GSK exception is adjacent and attribution is qualified.,,2026-07-18
M-019,Major,P1,STILL-OPEN,closed_verified,P3,no,yes,trivial,The statement that observed deltas are attributable ‘chiefly to algorithmic differences’ is too causal.,"Introduction C3 de-causalised: 'attributable chiefly to algorithmic differences' -> 'the common harness reduces implementation and environment variation, so reported deltas are read as algorithmic in origin subject to those disclosed exceptions'.","Replace the Introduction C3 clause with the reviewer's wording ('the common harness reduces implementation and environment variation, subject to the disclosed port, initialization, and algorithm-specific treatment differences'), and drop 'attributable' since no randomized component contrast supports it.","Claim-audit all uses of ‘attributable’, ‘because’, ‘drives’, ‘contributes’, and ‘effect’.",,2026-07-18
M-020,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,yes,small,The supplement converts failure to detect a benefit into a stronger ‘does not improve’/‘not an averaging artifact’ conclusion.,"Failure-to-detect framing restored: 'the null is NOT an averaging artifact ... does not improve this GSK optimizer' -> 'the aggregate null is not explained by the separable-problem subset ... This is a failure to detect an effect under this design, not a demonstration that none exists.' Mirrored in conclusions.","Remove or requalify the 'not an averaging artifact' and categorical 'does not improve' sentences in supplementary.tex:1695-1698 and conclusions.tex:155-160 (e.g. 'the aggregate null is not explained by the separable functions alone; no class-conditional benefit was detected either'). If an absence/equivalence claim is wanted, add paired-effect CIs or a retrospectively-declared-exploratory equivalence analysis on the existing 51 paired runs -- analysis only, no new optimizer runs.",Search null language; verify every statement distinguishes ‘no detected difference’ from equivalence/absence.,,2026-07-18
M-021,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,yes,trivial,The remove-one polish contrast is described as establishing a ‘significant contributor’ or ‘value’ beyond what the design isolates.,"Remove-one polish contrast restated as a contrast OUTCOME, not an attribution: 'removing the complete final-polish phase changed performance significantly in these cells', immediately followed by what stays unidentified (which part carries the effect; learned eigenbasis vs coordinate axes).","Restate supplementary.tex:1627 as 'removing the complete final-polish phase changed performance significantly in these cells' and follow immediately with what remains unidentified (learned eigenbasis vs coordinate axes, deterministic search, evaluation reallocation, basis fallback, system interaction); apply the same conditional framing to supplementary.tex:1532. No basis-specific language should be introduced without the matched coordinate/random-orthonormal basis controls, which the paper correctly declines to claim.",Check every polish claim against the exact toggle definition; require no basis-specific language without a basis-control study.,,2026-07-18
M-022,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,yes,trivial,"CEC2017 is both configuration-selection exposed and the source of the headline rank, but the abstract/title-facing narrative does not foreground that status enough.",CEC2017 selection exposure disclosed in the abstract: 'CEC2017 was configuration-selection exposed; CEC2011 and CEC2013 are corroborative.',"Add one clause to the abstract (or the end of the introduction) along the lines of 'CEC2017 was used during configuration selection; CEC2011/CEC2013 are corroborative', and add the same qualifier to cover_letter.tex and cover_letter.md next to the headline rank. Optional per acceptable_alternatives: relabel CEC2017 'development and primary reporting suite' throughout.","Verify the selection-exposure qualifier appears in abstract, setup, results interpretation, conclusion, and cover letter.",,2026-07-18
M-023,Major,P1,PARTIALLY-FIXED,closed_verified,P3,no,no,trivial,The manuscript sometimes treats CEC2011 benchmark performance as ‘real-world’ corroboration more strongly than warranted.,"CEC2011 reframed at performance.tex:55 as supplying real-world problem FORMULATIONS executed as a standardized benchmark -- 'breadth of application formulation, not evidence of deployment performance'.","Add one sentence at the CEC2011 protocol description (performance.tex:55) stating that CEC2011 supplies real-world problem formulations executed as a standardized benchmark -- application-formulation breadth, not deployment or decision-impact evidence -- and optionally normalize the suite name to 'CEC2011 real-world optimization benchmark suite' at first use in each artifact.","Search for ‘real-world performance’, ‘practical’, ‘application benefit’, and ensure all are benchmark-qualified.",,2026-07-18
M-024,Major,P1,STILL-OPEN,closed_verified,P1,no,yes,small,"The paper says a trust-region budget governor remains present but inert, while the current code states it was removed.","Corrected to match src/gsk_family/optimizers/_dt_core.py:3345 - the trust-region displacement governor was REMOVED at the paper freeze (runtime-dead), not left inert; the reliability/predicted-value gate remains present but is never instantiated.",Rewrite the Section 3.6 sentence (proposed_algorithm.tex:612-618) and the matching Table 4 cell to state: the TR-GSK trust-region displacement governor was removed from the paper implementation (only a telemetry column pinned at 0.0 survives); the budget policy IS enabled at D>=100 and executes an LS/escape gate that is near-redundant with the LS time gate but not provably inert (state the pre/post-escape ordering caveat or demonstrate equality empirically); the reliability/predicted-value gate is never instantiated (this part is already correct). Rebuild PDF/DOCX.,Static call-graph/coverage audit; confirm every mechanism named in the paper has an instantiated state and an executed branch under at least one headline tier.,,2026-07-18
M-025,Major,P1,STILL-OPEN,closed_verified,P1,no,yes,medium,The active/dormant status of several D≥100 controllers is not stated with enough executable precision.,"Per-tier active/dormant ledger built from the FROZEN pub profile (not prose): papers/governance/remediation_2026_07_18/mechanism_ledger.csv, 10 mechanisms x D=10/30/50/100 with instantiated / trigger-reachable / objective-calls / RNG-stream / state-updated / output-consumed columns. Resolved: ISM graph active only D>=50; DE arm on at D=30/50 only; ARGP on at all tiers; coordinate LS at all tiers; TR governor REMOVED; reliability gate never instantiated; oracle hooks unreachable.","Build the ledger for D=10/30/50/100 with the requested columns (constructor instantiated? / trigger reachable? / objective calls? / RNG stream? / state updated? / output consumed? / paper section?), marking removed (TR governor), label-only (terra_enabled), never-instantiated (LinkageReliabilityState, PredictedValueGate), and dormant (local_search_auto_subspace) features separately. Place the full table in a new Supplement S5 subsection with a compact version in Table 4, and remove dormant names from contribution prose. Then instrument a dry run to record branch activation and diff it against ",Instrument a dry run to record branch activation and compare to the ledger; fail if an active paper feature never executes or a dormant feature does.,,2026-07-18
M-026,Major,P1,STILL-OPEN,closed_verified,P4,no,yes,medium,The primary Friedman statistic is explicitly tie-uncorrected despite many exact ties created by the 10^-8 success floor.,"papers/sections/performance.tex:231-234 still reads: 'the Friedman statistic is the standard tie-uncorrected form that underlies the Iman--Davenport F (ties are rare on the continuous per-function means here)'. The implementation confirms it: papers/scripts/phase6_run_analysis.py:422-435 (friedman_with_id) calls friedman_rank from src/gsk_family/analysis/statistics.py:638, whose docstring (:655-658) gives the plain chi2 = (12N/(k(k+1)))*sum(Rbar_j-(k+1)/2)^2 -- midranks are assigned for ties (:679-683) but the rank variance is never tie-corrected. I recomputed from papers/analysis/rel-2026-07-","CLOSED. Tie-corrected Friedman is implemented, released and reflected in the manuscript. The regenerated bundle carries tie_correction_C plus both uncorrected companions for every panel; the prose's measured factors verify exactly (C = 0.890 at CEC2017 D10, 0.979 at D30, 1.000 at D50/D100). ONE STALE NUMBER FOUND AND FIXED: the CEC2011 omnibus was still the UNCORRECTED statistic (Iman-Davenport F = 3.67, p = 2.2e-3, which is exactly the uncorrected 3.6688); corrected to F = 4.27, p = 6.0e-4 from friedman_ranks_cec2011.csv. Table 7 needed no change: it reports mean ranks, which are provably invariant under the correction. The decision is unchanged (significant under both), consistent with the Phase-4 audit's 0 flips.","Every C value and both chi2 forms verified against the regenerated bundle. The Phase-4 audit's one open discrepancy is RESOLVED in the pipeline's favour: it reported CEC2013 D50 as 31.5612 vs published 30.8725; the regenerated uncorrected value is 30.8725, so the error was in that one-off audit script, not the pipeline. PDF confirms F = 4.27 present and 3.67 gone.",,
